head,relation,tail,time,score
特朗普,担忧,台积电,2025-04-08,1.000000
特朗普,批评,前总统乔·拜登政府,2025-04-08,1.000000
特朗普,感到不满,台积电,2025-04-08,1.000000
特朗普,相信,台积电,2025-04-08,1.000000
特朗普,质疑,前总统乔·拜登政府,2025-04-08,1.000000
特朗普,批评,乔·拜登政府,2025-04-08,1.000000
特朗普,质疑,乔·拜登政府,2025-04-08,1.000000
特朗普,认为可靠,台积电,2025-04-08,1.000000
特朗普,感到满意,台积电,2025-04-08,1.000000
特朗普,认可,台积电,2025-04-08,1.000000
特朗普,威胁,台积电,2025-04-08,1.000000
特朗普,质疑,台积电,2025-04-08,1.000000
特朗普,认为有威胁,台积电,2025-04-08,1.000000
特朗普,质疑,拜登政府,2025-04-08,1.000000
特朗普,担忧,拜登政府,2025-04-08,1.000000
特朗普,批评,拜登政府,2025-04-08,1.000000
特朗普,感谢,分享,2025-04-08,1.000000
特朗普,批评,拜登政府,2025-04-08,1.000000
特朗普,欢迎,分享,2025-04-08,1.000000
台积电,批评,拜登政府,2025-04-08,1.000000
美国,支持,台积电,2025-03-03,1.000000
美国,担忧,台积电,2025-03-03,1.000000
美国,认可,台积电,2025-03-03,1.000000
美国,相信,台积电,2025-03-03,1.000000
美国,质疑,台积电,2025-03-03,1.000000
美国,增进,台积电,2025-03-03,1.000000
美国,支持,台积电,2025-03-03,1.000000
美国,担忧,台积电,2025-03-03,1.000000
美国,批评,台积电,2025-03-03,1.000000
美国,认可,台积电,2025-03-03,1.000000
美国,质疑,台积电,2025-03-03,1.000000
美国,增进,台积电,2025-03-03,1.000000
美国,认为违规,台积电,2024-11-14,1.000000
路透社,攻击,台积电,2024-11-14,1.000000
特朗普,欣赏,该计划,2024-11-14,1.000000
特朗普,质疑,该计划,2024-11-14,1.000000
特朗普,批评,该计划,2024-11-14,1.000000
特朗普,认为违规,该计划,2024-11-14,1.000000
美国,攻击,台积电,2024-11-14,1.000000
雷蒙多,攻击,台积电,2024-11-14,1.000000
美国,支持,台积电,2024-11-14,1.000000
美国,认为失败,台积电,2024-11-14,1.000000
美国,提供补贴,台积电,2024-11-14,1.000000
TSMC,扩大投资,亚利桑那州,2024-11-14,1.000000
TSMC,使用,芯片,2024-11-14,1.000000
美国,提供贷款,TSMC,2024-11-14,1.000000
TSMC,分享利润,美国,2024-11-14,1.000000
美国,通过法案,半导体,2024-11-14,1.000000
美国,要求停止,TSMC,2024-11-14,1.000000
台积电,增进,芯片,2024-12-16,1.000000
CNBC,增进,台积电,2024-12-16,1.000000
CNBC,相信,台积电,2024-12-16,1.000000
瑞克·卡斯迪,认为优秀,台积电,2024-12-16,1.000000
瑞克·卡斯迪,认为违规,台积电,2024-12-16,1.000000
CNBC,担忧,台积电,2024-12-16,1.000000
