head,relation,tail,time,score
丹尼尔·帕特尔,欢迎,赖清德,2024-01-17,0.001741
彭博社,欢迎,赖清德,2024-01-17,0.001240
赖清德,喜欢,台积电,2024-01-17,0.000273
丹尼尔·帕特尔,担忧,赖清德,2024-01-17,0.000267
丹尼尔·帕特尔,相信,赖清德,2024-01-17,0.000090
彭博社,喜欢,赖清德,2024-01-17,0.000089
彭博社,质疑,赖清德,2024-01-17,0.000088
彭博社,欣赏,赖清德,2024-01-17,0.000084
帕特尔,担忧,赖清德,2024-01-17,0.000040
丹尼尔·帕特尔,认可,赖清德,2024-01-17,0.000036
丹尼尔·帕特尔,认为可靠,赖清德,2024-01-17,0.000021
赖清德政府,欢迎,台积电,2024-01-17,0.000016
彭博社,认为热情,赖清德,2024-01-17,0.000016
彭博社,支持,赖清德,2024-01-17,0.000014
丹尼尔·帕特尔,质疑,赖清德,2024-01-17,0.000014
亚利桑那州,主导,台积电,2024-01-17,0.000011
丹尼尔·帕特尔,支持,赖清德,2024-01-17,0.000007
美国,投资,半导体,2024-01-17,0.000006
丹尼尔·帕特尔,认为违规,赖清德,2024-01-17,0.000003
彭博社,视作英雄,赖清德,2024-01-17,0.000001
中国,投资,半导体,2024-01-17,0.000001
特里洛,认为可靠,赖清德,2024-01-17,0.000001
赖清德政府,喜欢,台积电,2024-01-17,0.000001
彭博社,认为优秀,赖清德,2024-01-17,0.000001
半导体,关联,台湾经济,2024-01-17,0.000000
美国,认为有威胁,中国,2024-01-17,0.000000
特里洛,欣赏,赖清德,2024-01-17,0.000000
赖清德政府,损害,台湾的产业,2024-01-17,0.000000
丹尼尔·帕特尔,认为优秀,赖清德,2024-01-17,0.000000
保罗·特里洛,认为优秀,赖清德,2024-01-17,0.000000
克里斯·米勒,担忧,台湾政府,2024-01-17,0.000000
美国,主导,芯片,2024-01-26,0.000000
特里洛,认为有威胁,赖清德,2024-01-17,0.000000
克里斯·米勒,感到不满,台湾政府,2024-01-17,0.000000
丹尼尔·帕特尔,批评,赖清德,2024-01-17,0.000000
克里斯·米勒,认为非法,台湾政府,2024-01-17,0.000000
特里洛,认为恐怖,赖清德,2024-01-17,0.000000
克里斯·米勒,主导,台湾政府,2024-01-17,0.000000
克里斯·米勒,认为可靠,台湾政府,2024-01-17,0.000000
特里洛,认为有成就,赖清德,2024-01-17,0.000000
米勒,担忧,台湾政府,2024-01-17,0.000000
台湾,增进,半导体,2024-01-17,0.000000
帕特尔,担忧,中国,2024-01-17,0.000000
克里斯·米勒,相信,台湾政府,2024-01-17,0.000000
中国,主导,芯片,2024-01-17,0.000000
特里洛,认为有危机,赖清德,2024-01-17,0.000000
米勒,认为可靠,台湾政府,2024-01-17,0.000000
克里斯·米勒,认可,台湾政府,2024-01-17,0.000000
米勒,相信,台湾政府,2024-01-17,0.000000
克里斯·米勒,质疑,台湾政府,2024-01-17,0.000000
帕特尔,认可,中国,2024-01-17,0.000000
特里洛,认为优秀,赖清德,2024-01-17,0.000000
克里斯·米勒,认为有成就,台湾政府,2024-01-17,0.000000
赖清德,认为失败,三党竞争,2024-01-17,0.000000
台湾政府,实施,国家安全措施,2024-01-17,0.000000
克里斯·米勒,感到满意,台湾政府,2024-01-17,0.000000
新墨西哥州,主导,英特尔,2024-01-26,0.000000
克里斯·米勒,认为犯罪,台湾政府,2024-01-17,0.000000
赖清德,质疑,芯片,2024-01-17,0.000000
米勒,认可,台湾政府,2024-01-17,0.000000
克里斯·米勒,认为有威胁,台湾政府,2024-01-17,0.000000
米勒,质疑,台湾政府,2024-01-17,0.000000
克里斯·米勒,支持,台湾政府,2024-01-17,0.000000
克里斯·米勒,认为恐怖,台湾政府,2024-01-17,0.000000
帕特尔,质疑,中国,2024-01-17,0.000000
克里斯·米勒,认为失败,台湾政府,2024-01-17,0.000000
赖清德,认为热情,芯片,2024-01-17,0.000000
美国国会,主导,芯片,2024-01-26,0.000000
米勒,认为有威胁,台湾政府,2024-01-17,0.000000
TSMC,建设,工厂,2024-01-26,0.000000
特里洛,认为有暴力,赖清德,2024-01-17,0.000000
克里斯·米勒,认为违规,台湾政府,2024-01-17,0.000000
克里斯·米勒,认为缺乏,台湾政府,2024-01-17,0.000000
帕特尔,认为有威胁,中国,2024-01-17,0.000000
吉娜·雷蒙多,主导,芯片,2024-01-26,0.000000
TSMC,占据,全球代工产能60%,2024-01-17,0.000000
米勒,认为恐怖,台湾政府,2024-01-17,0.000000
米勒,认为失败,台湾政府,2024-01-17,0.000000
米勒,认为缺乏,台湾政府,2024-01-17,0.000000
台湾政府,面临决策,TSMC海外工厂,2024-01-17,0.000000
克里斯·米勒,认为优秀,台湾政府,2024-01-17,0.000000
米勒,认为违规,台湾政府,2024-01-17,0.000000
克里斯·米勒,认为有危机,台湾政府,2024-01-17,0.000000
美国国会,支持,芯片,2024-01-26,0.000000
米勒,认为有危机,台湾政府,2024-01-17,0.000000
帕特尔,认为有危机,中国,2024-01-17,0.000000
TSMC,投资,工厂,2024-01-26,0.000000
美国国会,认可,芯片,2024-01-26,0.000000
半导体,面临挑战,中美技术竞争,2024-01-17,0.000000
赖清德,批评,芯片,2024-01-17,0.000000
克里斯·米勒,认为有暴力,台湾政府,2024-01-17,0.000000
克里斯·米勒,批评,台湾政府,2024-01-17,0.000000
吉娜·雷蒙多,支持,芯片,2024-01-26,0.000000
米勒,批评,台湾政府,2024-01-17,0.000000
TSMC,被评价为,全球资产,2024-01-17,0.000000
TSMC,面临压力,美国政府,2024-01-17,0.000000
美国国会,增进,芯片,2024-01-26,0.000000
TSMC,遇到问题,亚利桑那州晶圆厂,2024-01-17,0.000000
TSMC,将获得,补贴,2024-01-26,0.000000
