head,relation,tail,time,score
摩根士丹利,认为缺乏,英伟达,2024-10-23,1.000000
摩根士丹利,担忧,英伟达,2024-10-23,1.000000
摩根士丹利,质疑,英伟达,2024-10-23,1.000000
魏哲家,质疑,英伟达,2024-10-23,1.000000
根士丹利,认为优秀,英伟达,2024-10-23,1.000000
摩根士丹利,认为有危机,英伟达,2024-10-23,1.000000
魏哲家,认为优秀,台积电,2024-10-23,1.000000
台积电,增进,CoWoS产能,2024-10-23,1.000000
摩根士丹利,认为有威胁,英伟达,2024-10-23,1.000000
魏哲家,认可,台积电,2024-10-23,1.000000
摩根士丹利,认为恐怖,英伟达,2024-10-23,1.000000
台积电,增进,芯片封装产能,2024-10-23,1.000000
魏哲家,担忧,台积电,2024-10-23,1.000000
魏哲家,感到不满,台积电,2024-10-23,1.000000
魏哲家,认为优秀,英伟达,2024-10-23,1.000000
摩根士丹利,认为优秀,英伟达,2024-10-23,1.000000
魏哲家,质疑,台积电,2024-10-23,1.000000
TSMC,公布业绩,第三季度,2024-10-23,1.000000
TSMC,提高全年营收增长预测,30%,2024-10-23,1.000000
TSMC,预计营收,900亿美元,2024-10-23,1.000000
TSMC,3nm和5nm工艺节点需求高,AI处理器,2024-10-23,1.000000
TSMC,使用,4NP节点,2024-10-23,1.000000
TSMC,计划增加产能,CoWoS,2024-10-23,1.000000
imes,质疑,台积电,2024-12-11,1.000000
imes,认可,台积电,2024-12-11,1.000000
imes,担忧,台积电,2024-12-11,1.000000
中国,认为恐怖,台湾,2025-01-14,1.000000
中国,认为可靠,台湾,2025-01-14,1.000000
中国,认为有危机,台湾,2025-01-14,1.000000
中国,认可,台湾,2025-01-14,1.000000
科尔莱特·克雷斯,认为可靠,英伟达,2025-01-11,1.000000
TSMC,增加产能,AI芯片,2025-01-11,1.000000
TSMC,计划增加,先进芯片封装产能,2025-01-11,1.000000
TSMC,分配产能,NVIDIA,2025-01-11,1.000000
中国,认可,台湾,2025-01-13,1.000000
美国,主导,限制先进芯片的出口,2025-01-13,1.000000
美国,增进,先进芯片的出口,2025-01-13,1.000000
美国,认为有威胁,中国,2025-01-13,1.000000
美国,威胁,中国,2025-01-13,1.000000
台积电,处于紧张关系中,中美地缘政治,2025-01-13,1.000000
美国,视为重要,台积电,2025-01-13,1.000000
台积电,股价下跌,3.4%,2025-01-13,1.000000
科莱特·克雷斯,认为可靠,英伟达,2025-01-11,1.000000
TSMC,股价上涨,121%,2025-01-11,1.000000
TSMC,扩展,先进封装产能,2025-01-11,1.000000
TSMC,分配产能,Nvidia,2025-01-11,1.000000
TSMC,预计收益增长,9.06美元/股,2025-01-11,1.000000
微软公司（MSFT）,主导,台积电,2024-11-03,1.000000
TSMC,合作扩大生产,Amkor,2024-11-03,1.000000
TSMC,受台风影响,台湾运营,2024-11-03,1.000000
