head,relation,tail,time,score
美国,认为有危机,台积电,2024-10-23,1.000000
美国,质疑,台积电,2024-10-23,1.000000
路透社,认为违规,台积电,2024-10-23,1.000000
美国,批评,台积电,2024-10-23,1.000000
美国,认为非法,台积电,2024-10-23,1.000000
路透社,质疑,台积电,2024-10-23,1.000000
美国,担忧,台积电,2024-10-23,1.000000
美国,认为可靠,出口管制法规,2024-10-23,1.000000
美国,认为恐怖,台积电,2024-10-23,1.000000
美国,认为有威胁,台积电,2024-10-23,1.000000
美国,相信,台积电,2024-10-23,1.000000
美国,损害,台积电,2024-10-23,1.000000
美国,威胁,台积电,2024-10-23,1.000000
美国,感到不满,台积电,2024-10-23,1.000000
美国,认可,台积电,2024-10-23,1.000000
美国,认为违规,台积电,2024-10-23,1.000000
美国,认为优秀,台积电,2024-10-23,1.000000
美国,认为犯罪,台积电,2024-10-23,1.000000
美国,损害,台积电,2024-11-04,1.000000
美国,攻击,台积电,2024-11-04,1.000000
美国,认为犯罪,台积电,2024-10-18,1.000000
中国科技公司华为,认为违规,美国,2024-10-28,1.000000
容逸燊,喜欢,川普,2024-12-03,1.000000
容逸燊,批评,川普,2024-12-03,1.000000
容逸燊,质疑,川普,2024-12-03,1.000000
容逸燊,视作英雄,川普,2024-12-03,1.000000
容逸燊,相信,川普,2024-12-03,1.000000
容逸燊,欢迎,川普,2024-12-03,1.000000
容逸燊,认为热情,川普,2024-12-03,1.000000
容逸燊,欣赏,川普,2024-12-03,1.000000
容逸燊,认为有暴力,川普,2024-12-03,1.000000
美国,质疑,美国,2024-10-30,1.000000
川普,攻击,台湾,2024-11-19,1.000000
川普,认为有威胁,台湾,2024-11-19,1.000000
路透社,担忧,美国,2024-11-19,1.000000
商务部,认为可靠,美国,2024-11-19,1.000000
约翰‧穆勒纳尔,增进,美国,2024-11-19,1.000000
约翰‧穆勒纳尔,认为失败,美国,2024-11-19,1.000000
路透社,增进,美国,2024-11-19,1.000000
美国,认为恐怖,加拿大,2024-11-27,1.000000
阮慕骅,质疑,台积电,2024-11-27,1.000000
川普,认为有威胁,加拿大,2024-11-27,1.000000
美国,认为有威胁,加拿大,2024-11-27,1.000000
美国,认为恐怖,墨西哥,2024-11-27,1.000000
美国,认为有威胁,中国,2024-11-27,1.000000
阮慕骅,批评,台积电,2024-11-27,1.000000
阮慕骅,感到不满,台积电,2024-11-27,1.000000
美国,威胁,加拿大、墨西哥,2024-11-27,1.000000
美国,认为非法,加拿大,2024-11-27,1.000000
川普,认为有威胁,墨西哥,2024-11-27,1.000000
美国,认为有威胁,墨西哥,2024-11-27,1.000000
川普,认为非法,加拿大,2024-11-27,1.000000
美国,损害,特斯拉,2024-12-01,1.000000
美国,认为有暴力,特斯拉,2024-12-01,1.000000
美国,认为有暴力,特斯拉,2024-12-01,1.000000
美国,损害,特斯拉,2024-12-01,1.000000
美国,认为违规,美国,2024-10-29,1.000000
美国,攻击,台积电,2024-10-30,1.000000
美国,认为非法,台积电,2024-10-30,1.000000
RIRENMB,认为违规,台积电,2024-10-30,1.000000
美国,认为非法,台积电,2024-10-30,1.000000
台湾独裁爱好者领导人,认为非法,台积电,2024-10-30,1.000000
美国,攻击,台积电,2024-10-30,1.000000
魏哲家,认为有成就,台积电,2024-12-03,1.000000
美国,损害,台湾相关业者,2024-12-03,1.000000
季辛格,认为违规,美国,2024-12-03,1.000000
魏哲家,增进,台积电,2024-12-03,1.000000
川普,损害,台湾,2024-11-19,1.000000
美国,损害,台湾,2024-11-19,1.000000
张忠谋,认为有成就,台积电,2024-10-27,1.000000
美国,支持,台积电,2024-11-16,1.000000
美国,视作英雄,陈逸平,2024-11-16,1.000000
《晶片与科学法案》,认为优秀,台积电,2024-11-16,1.000000
美国,认为优秀,美国,2024-11-16,1.000000
拜登政府,认为优秀,台积电,2024-11-16,1.000000
拜登政府,主导,台积电,2024-11-16,1.000000
美国,视作英雄,美国,2024-11-16,1.000000
美国,支持,台积电,2024-11-16,1.000000
美国,认为违规,《晶片与科学法案》,2024-11-16,1.000000
美国,支持,台湾,2024-09-02,1.000000
美国,增进,芯片,2024-09-02,1.000000
美国,主导,涉台言论,2024-09-02,1.000000
美国,威胁,全球产业链的稳定,2024-12-06,1.000000
美国,增进,国产化进程,2024-12-06,1.000000
中国汽车工业协会,主导,美国,2024-12-06,1.000000
中国汽车工业协会,认为恐怖,美国,2024-12-06,1.000000
商务部,认为违规,美国,2024-12-06,1.000000
美国,认为有威胁,全球产业链的稳定,2024-12-06,1.000000
美国,损害,全球产业链的稳定,2024-12-06,1.000000
美国,损害,国际经贸秩序,2024-12-06,1.000000
美国,损害,国际经贸秩序,2024-12-06,1.000000
美国,损害,全球产业链的稳定,2024-12-06,1.000000
美国,认为有威胁,全球产业链的稳定,2024-12-06,1.000000
中国汽车工业协会,认为违规,美国,2024-12-06,1.000000
中国汽车工业协会,认为有危机,美国,2024-12-06,1.000000
中国汽车工业协会,认为犯罪,美国,2024-12-06,1.000000
中国汽车工业协会,认为失败,美国,2024-12-06,1.000000
美国,威胁,全球产业链的稳定,2024-12-06,1.000000
美国,认为违规,美国,2024-12-06,1.000000
约翰·穆勒纳尔,认为失败,美国,2024-10-28,1.000000
美国,认为恐怖,特斯拉,2024-12-02,1.000000
美国,认为犯罪,特斯拉,2024-12-02,1.000000
美国,认为有暴力,特斯拉,2024-12-02,1.000000
美国,认为有暴力,特斯拉,2024-12-02,1.000000
美国,认为有危机,特斯拉,2024-12-02,1.000000
美国,损害,特斯拉,2024-12-02,1.000000
美国,损害,特斯拉,2024-12-02,1.000000
美国,认为有威胁,特斯拉,2024-12-02,1.000000
美国,质疑,台积电,2024-10-23,1.000000
沈荣钦,质疑,台积电,2024-10-23,1.000000
美国,支持,芯片,2024-10-29,1.000000
美国,认可,芯片,2024-10-29,1.000000
美国,主导,芯片,2024-10-29,1.000000
美国,增进,芯片,2024-10-29,1.000000
张忠谋,主导,台积电,2024-10-26,1.000000
张忠谋,认为可靠,台积电,2024-11-29,1.000000
张忠谋,认可,台积电,2024-11-29,1.000000
张忠谋,担忧,台积电,2024-11-29,1.000000
张忠谋,质疑,英特尔,2024-11-29,1.000000
张忠谋,批评,台积电,2024-11-29,1.000000
张忠谋,认为有威胁,英特尔,2024-11-29,1.000000
张忠谋,认为恐怖,台积电,2024-11-29,1.000000
张忠谋,认为优秀,英特尔,2024-11-29,1.000000
张忠谋,认为有危机,英特尔,2024-11-29,1.000000
张忠谋,认为违规,台积电,2024-11-29,1.000000
张忠谋,质疑,台积电,2024-11-29,1.000000
张忠谋,认为有威胁,台积电,2024-11-29,1.000000
张忠谋,担忧,英特尔,2024-11-29,1.000000
张忠谋,认为有危机,台积电,2024-11-29,1.000000
特朗普,批评,台湾,2024-10-29,1.000000
特朗普,认为有威胁,台湾,2024-10-29,1.000000
特朗普,质疑,台湾,2024-10-29,1.000000
川普,质疑,课关税言论,2024-12-02,1.000000
川普,损害,台股加权指数,2024-12-02,1.000000
川普,批评,课关税言论,2024-12-02,1.000000
彭博社,认为有威胁,美国,2024-10-27,1.000000
詹家鸿,认为恐怖,台积电,2024-12-03,1.000000
詹家鸿,认为缺乏,台积电,2024-12-03,1.000000
詹家鸿,认为可靠,台积电,2024-12-03,1.000000
詹家鸿,质疑,台积电,2024-12-03,1.000000
詹家鸿,认为有威胁,台积电,2024-12-03,1.000000
詹家鸿,担忧,台积电,2024-12-03,1.000000
詹家鸿,认为有危机,台积电,2024-12-03,1.000000
詹家鸿,认可,台积电,2024-12-03,1.000000
詹家鸿,相信,台积电,2024-12-03,1.000000
张忠谋,相信,英特尔,2024-11-29,1.000000
张忠谋,相信,台积电,2024-10-26,1.000000
魏哲家,认为有成就,台积电,2024-10-26,1.000000
张忠谋,认为有成就,台积电,2024-11-27,1.000000
美国,认可,台积电,2024-10-17,1.000000
美国,认为有暴力,台积电,2024-10-17,1.000000
美国,认为热情,台积电,2024-10-17,1.000000
美国,支持,台积电,2024-10-17,1.000000
美国,认为有威胁,台积电,2024-10-17,1.000000
美国,相信,台积电,2024-10-17,1.000000
美国,欢迎,台积电,2024-10-17,1.000000
美国,认为有成就,台积电,2024-10-17,1.000000
美国,感到满意,台积电,2024-10-17,1.000000
美国,喜欢,台积电,2024-10-17,1.000000
美国,增进,台积电,2024-10-17,1.000000
美国,认为可靠,台积电,2024-10-17,1.000000
美国,认为有危机,台积电,2024-10-17,1.000000
美国,损害,台积电,2024-10-17,1.000000
美国,攻击,台积电,2024-10-17,1.000000
美国,欣赏,台积电,2024-10-17,1.000000
美国,认为优秀,台积电,2024-10-17,1.000000
美国,认为恐怖,台积电,2024-10-17,1.000000
美国,视作英雄,台积电,2024-10-17,1.000000
林汉伟,质疑,川普,2024-12-02,1.000000
林汉伟,批评,川普,2024-12-02,1.000000
刘扬伟,认为恐怖,川普,2024-12-02,1.000000
刘扬伟,喜欢,川普,2024-12-02,1.000000
刘扬伟,感到不满,川普,2024-12-02,1.000000
薛恩鲍姆,感到不满,川普,2024-12-02,1.000000
刘扬伟,威胁,川普,2024-12-02,1.000000
墨西哥,威胁,川普,2024-12-02,1.000000
刘扬伟,认为有暴力,川普,2024-12-02,1.000000
刘扬伟,担忧,川普,2024-12-02,1.000000
美国,喜欢,川普,2024-12-02,1.000000
刘扬伟,感到满意,川普,2024-12-02,1.000000
刘扬伟,相信,川普,2024-12-02,1.000000
刘扬伟,欣赏,川普,2024-12-02,1.000000
薛恩鲍姆,威胁,川普,2024-12-02,1.000000
刘扬伟,认为优秀,川普,2024-12-02,1.000000
林汉伟,担忧,川普,2024-12-02,1.000000
刘扬伟,认可,川普,2024-12-02,1.000000
刘扬伟,认为缺乏,川普,2024-12-02,1.000000
刘扬伟,认为违规,川普,2024-12-02,1.000000
刘扬伟,批评,川普,2024-12-02,1.000000
薛恩鲍姆,批评,川普,2024-12-02,1.000000
林汉伟,欣赏,川普,2024-12-02,1.000000
刘扬伟,攻击,川普,2024-12-02,1.000000
刘扬伟,质疑,川普,2024-12-02,1.000000
薛恩鲍姆,损害,川普,2024-12-02,1.000000
薛恩鲍姆,攻击,川普,2024-12-02,1.000000
薛恩鲍姆,质疑,川普,2024-12-02,1.000000
川普,攻击,台北股市,2024-11-28,1.000000
黄仁勋,欢迎,张忠谋,2024-11-29,1.000000
张忠谋,认为可靠,台积电,2024-11-29,1.000000
张忠谋,主导,台积电,2024-11-29,1.000000
黄仁勋,质疑,张忠谋,2024-11-29,1.000000
何世昌,支持,川普,2024-11-05,1.000000
何世昌,认为有暴力,川普,2024-11-05,1.000000
何世昌,欣赏,川普,2024-11-05,1.000000
何世昌,相信,川普,2024-11-05,1.000000
何世昌,担忧,川普,2024-11-05,1.000000
何世昌,认为优秀,川普,2024-11-05,1.000000
何世昌,认可,川普,2024-11-05,1.000000
何世昌,认为缺乏,川普,2024-11-05,1.000000
何世昌,批评,川普,2024-11-05,1.000000
何世昌,认为可靠,川普,2024-11-05,1.000000
何世昌,质疑,川普,2024-11-05,1.000000
何世昌,攻击,川普,2024-11-05,1.000000
何世昌,损害,川普,2024-11-05,1.000000
林佳龙,认为恐怖,川普,2024-11-05,1.000000
何世昌,认为恐怖,川普,2024-11-05,1.000000
何世昌,威胁,川普,2024-11-05,1.000000
川普,损害,台湾,2024-11-05,1.000000
何世昌,喜欢,川普,2024-11-05,1.000000
何世昌,认为有威胁,川普,2024-11-05,1.000000
林佳龙,担忧,川普,2024-11-05,1.000000
美国,增进,关税措施,2024-11-28,1.000000
索贝克,认为有威胁,美国,2024-11-28,1.000000
彭博专栏作家,认可,台积电,2024-11-28,1.000000
刘德音,攻击,台湾,2024-11-28,1.000000
索贝克,欣赏,台积电,2024-11-28,1.000000
美国,认为有威胁,北京,2024-11-28,1.000000
彭博专栏作家,认为恐怖,台积电,2024-11-28,1.000000
美国,损害,北京,2024-11-28,1.000000
美国,威胁,北京,2024-11-28,1.000000
美国,认为有威胁,北京,2024-11-28,1.000000
索贝克,认为有威胁,台积电,2024-11-28,1.000000
美国,认为有威胁,美国,2024-11-28,1.000000
彭博专栏作家,认为有成就,台积电,2024-11-28,1.000000
索贝克,认为有危机,台积电,2024-11-28,1.000000
刘德音,认为有危机,中国,2024-11-28,1.000000
美国,威胁,北京,2024-11-28,1.000000
索贝克,认为非法,台积电,2024-11-28,1.000000
彭博专栏作家,认为有危机,美国,2024-11-28,1.000000
索贝克,认为可靠,台积电,2024-11-28,1.000000
索贝克,支持,台积电,2024-11-28,1.000000
索贝克,认为恐怖,台积电,2024-11-28,1.000000
索贝克,认为缺乏,台积电,2024-11-28,1.000000
索贝克,相信,台积电,2024-11-28,1.000000
彭博专栏作家,增进,台积电,2024-11-28,1.000000
索贝克,认为有成就,台积电,2024-11-28,1.000000
索贝克,损害,美国,2024-11-28,1.000000
彭博专栏作家,认为有危机,台积电,2024-11-28,1.000000
