head,relation,tail,time,score
哈里斯,认为恐怖,特朗普,2024-11-02,0.960571
英特尔,欢迎,摩根士丹利,2024-08-26,0.930995
英特尔,欢迎,摩根士丹利,2024-08-26,0.930995
郭建宏,质疑,特朗普总统,2025-01-14,0.912623
哈里斯,认为有危机,特朗普,2024-11-02,0.884459
哈里斯,认为有危机,特朗普,2024-11-02,0.884459
哈里斯,认可,特朗普,2024-09-10,0.880932
三星电子,认为有威胁,特朗普,2024-11-12,0.870028
彼得·蒂尔,认为恐怖,特朗普,2024-11-18,0.859767
彼得·蒂尔,认为恐怖,特朗普,2024-11-18,0.859767
彼得·蒂尔,认为恐怖,特朗普,2024-11-18,0.859767
克里斯·米勒,相信,特朗普,2024-11-13,0.837267
帕特·盖尔辛格,认为恐怖,台积电,2024-11-06,0.833358
彼得·蒂尔,认为热情,特朗普,2024-11-18,0.827611
彼得·蒂尔,认为热情,特朗普,2024-11-18,0.827611
彼得·蒂尔,认为热情,特朗普,2024-11-18,0.827611
彼得·蒂尔,认为犯罪,特朗普,2024-11-18,0.801148
彼得·蒂尔,认为犯罪,特朗普,2024-11-18,0.801148
哈里斯,质疑,特朗普,2024-09-10,0.797645
哈里斯,质疑,特朗普,2024-11-02,0.797645
哈里斯,质疑,特朗普,2024-11-02,0.797645
哈里斯,担忧,特朗普,2024-09-10,0.764569
乔·罗根,认为恐怖,台积电,2024-10-28,0.737766
皮特森国际经济研究所,认为恐怖,特朗普,2024-11-06,0.719838
JW Kuo,担忧,特朗普,2024-11-09,0.719179
彼得·蒂尔,欢迎,特朗普,2024-11-18,0.692414
台积电,感谢,唐纳德·特朗普,2024-11-12,0.670486
乔·罗根,认为有危机,台积电,2024-10-28,0.636132
李民熙,认为有威胁,特朗普,2024-11-12,0.625573
美国,认为违规,台积电,2024-11-10,0.622448
美国,认为违规,台积电,2024-10-23,0.622448
美国,认为违规,台积电,2024-11-09,0.622448
美国,认为违规,台积电,2024-11-09,0.622448
美国,认为违规,台积电,2024-10-18,0.622448
美国,认为违规,台积电,2024-11-09,0.622448
美国,认为违规,台积电,2024-10-23,0.622448
美国,认为违规,台积电,2024-10-18,0.622448
美国,认为违规,台积电,2024-11-09,0.622448
美国,认为违规,台积电,2024-11-09,0.622448
