head,relation,tail,time,score
美国,欣赏,台积电,2025-04-13,0.752842
美国,欣赏,台积电,2024-11-28,0.752842
美国,欣赏,台积电,2024-11-28,0.752842
美国,欣赏,台积电,2025-04-17,0.752842
美国,欣赏,台积电,2025-04-17,0.752842
美国,欣赏,台积电,2025-04-17,0.752842
美国,欢迎,台积电,2025-04-13,0.723764
美国,欢迎,台积电,2024-11-09,0.723764
美国,欢迎,台积电,2025-04-02,0.723764
美国,认为违规,台积电,2024-11-14,0.716483
美国,认为违规,台积电,2024-11-14,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-28,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-28,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为违规,台积电,2024-11-09,0.716483
美国,认为违规,台积电,2024-11-12,0.716483
美国,认为违规,台积电,2024-11-10,0.716483
美国,认为非法,台积电,2024-11-28,0.694979
美国,认为非法,台积电,2024-11-28,0.694979
美国,认为非法,台积电,2024-11-10,0.694979
美国,认为非法,台积电,2024-11-07,0.694979
美国,喜欢,台积电,2024-11-28,0.681701
美国,喜欢,台积电,2025-04-17,0.681701
美国,喜欢,台积电,2025-04-17,0.681701
美国,喜欢,台积电,2025-04-17,0.681701
墨西哥,认为违规,台积电,2024-11-13,0.665419
美国,认为可靠,台积电,2025-03-03,0.658428
美国,认为可靠,台积电,2025-01-13,0.658428
美国,认为可靠,台积电,2024-11-28,0.658428
美国,认为可靠,台积电,2025-03-02,0.658428
美国,认为可靠,台积电,2024-11-28,0.658428
中国,损害,台积电,2025-03-14,0.657363
美国,认为优秀,台积电,2025-03-03,0.630842
美国,认为优秀,台积电,2025-03-02,0.630842
美国,认为优秀,台积电,2025-01-13,0.630842
美国,认为优秀,台积电,2025-04-13,0.630842
美国,认为优秀,台积电,2025-04-13,0.630842
美国,认为优秀,台积电,2024-11-28,0.630842
美国,认为优秀,台积电,2025-03-02,0.630842
