head,relation,tail,time,score
刘德音,欢迎,台积电,2024-11-26,0.984868
刘德音,感谢,台积电,2024-11-26,0.959326
美国,认为可靠,台积电,2024-10-17,0.942097
美国,认为可靠,台积电,2024-11-05,0.942097
美国,认为可靠,台积电,2024-11-25,0.942097
美国,认为可靠,台积电,2024-11-25,0.942097
美国,认为可靠,台积电,2024-11-28,0.942097
美国,认为可靠,台积电,2024-11-05,0.942097
美国,认为可靠,台积电,2024-11-05,0.942097
美国,认为可靠,台积电,2024-11-27,0.942097
美国,认为违规,台积电,2024-10-23,0.937776
美国,认为违规,台积电,2024-11-10,0.937776
美国,认为违规,台积电,2024-11-13,0.937776
美国,认为违规,台积电,2024-11-25,0.937776
美国,认为违规,台积电,2024-11-25,0.937776
美国,认为违规,台积电,2024-11-25,0.937776
美国,认为违规,台积电,2024-11-25,0.937776
美国,认为违规,台积电,2024-11-21,0.937776
美国,认为违规,台积电,2024-11-19,0.937776
美国,认为违规,台积电,2024-10-23,0.937776
美国,认为违规,台积电,2024-12-02,0.937776
华为,欢迎,台积电,2024-11-28,0.935824
美国,认为有危机,台积电,2024-10-23,0.934721
美国,认为有危机,台积电,2024-10-17,0.934721
美国,认为有危机,台积电,2024-11-29,0.934721
美国,认为有危机,台积电,2024-10-26,0.934721
美国,认为有危机,台积电,2024-11-13,0.934721
美国,认为有危机,台积电,2024-11-13,0.934721
美国,认为有危机,台积电,2024-11-13,0.934721
美国,认为有危机,台积电,2024-11-05,0.934721
美国,认为有危机,台积电,2024-11-05,0.934721
美国,认为有危机,台积电,2024-11-06,0.934721
美国,认为有危机,台积电,2024-11-28,0.934721
美国,认为有危机,台积电,2024-10-23,0.934721
美国,认为有危机,台积电,2024-12-02,0.934721
美国,认为有危机,台积电,2024-11-27,0.934721
美国,认为有暴力,台积电,2024-10-17,0.925833
美国,认为有暴力,台积电,2024-11-19,0.925833
美国,认为有暴力,台积电,2024-10-23,0.925833
蔡正元,欢迎,台积电,2024-12-04,0.913873
季辛格,欢迎,台积电,2024-12-03,0.905806
美国,喜欢,台积电,2024-10-17,0.892111
美国,认为非法,台积电,2024-10-23,0.881719
美国,认为非法,台积电,2024-10-30,0.881719
美国,认为非法,台积电,2024-10-30,0.881719
美国,认为非法,台积电,2024-11-09,0.881719
美国,认为非法,台积电,2024-10-24,0.881719
美国,认为非法,台积电,2024-12-02,0.881719
美国,欢迎,台积电,2024-10-17,0.880671
美国,欢迎,台积电,2024-12-01,0.880671
美国,欢迎,台积电,2024-12-02,0.880671
美国,欢迎,台积电,2024-12-03,0.880671
美国,欢迎,台积电,2024-12-03,0.880671
张忠谋,认为有危机,台积电,2024-11-29,0.875961
张忠谋,认为有危机,台积电,2024-10-26,0.875961
张忠谋,认为有危机,台积电,2024-11-28,0.875961
张忠谋,认为有危机,台积电,2024-11-27,0.875961
张忠谋,认为有危机,台积电,2024-11-13,0.875961
张忠谋,认为有危机,台积电,2024-11-28,0.875961
美国,相信,台积电,2024-10-23,0.874791
美国,相信,台积电,2024-10-17,0.874791
美国,相信,台积电,2024-11-25,0.874791
美国,相信,台积电,2024-11-25,0.874791
美国,相信,台积电,2024-11-25,0.874791
美国,相信,台积电,2024-11-25,0.874791
美国,相信,台积电,2024-11-27,0.874791
张忠谋,认为恐怖,台积电,2024-11-29,0.869891
张忠谋,认为恐怖,台积电,2024-10-26,0.869891
张忠谋,认为恐怖,台积电,2024-11-28,0.869891
张忠谋,认为违规,台积电,2024-11-29,0.869249
美国,认为恐怖,台积电,2024-10-23,0.864915
美国,认为恐怖,台积电,2024-10-17,0.864915
美国,认为恐怖,台积电,2024-11-05,0.864915
美国,认为恐怖,台积电,2024-11-25,0.864915
美国,认为恐怖,台积电,2024-11-17,0.864915
美国,认为恐怖,台积电,2024-11-05,0.864915
美国,认为恐怖,台积电,2024-11-05,0.864915
美国,认为恐怖,台积电,2024-10-27,0.864915
美国,认为恐怖,台积电,2024-11-28,0.864915
美国,认为恐怖,台积电,2024-10-23,0.864915
美国,认为恐怖,台积电,2024-11-27,0.864915
张忠谋,相信,台积电,2024-10-26,0.861262
张忠谋,相信,台积电,2024-10-26,0.861262
张忠谋,相信,台积电,2024-10-29,0.861262
张忠谋,相信,台积电,2024-10-25,0.861262
台湾,欣赏,台积电,2024-11-15,0.856278
张忠谋,担忧,台积电,2024-11-29,0.854276
张忠谋,担忧,台积电,2024-10-26,0.854276
美国,担忧,台积电,2024-10-23,0.850536
美国,担忧,台积电,2024-11-10,0.850536
美国,担忧,台积电,2024-11-05,0.850536
美国,担忧,台积电,2024-11-25,0.850536
美国,担忧,台积电,2024-11-25,0.850536
美国,担忧,台积电,2024-11-25,0.850536
美国,担忧,台积电,2024-11-25,0.850536
美国,担忧,台积电,2024-11-25,0.850536
美国,担忧,台积电,2024-11-28,0.850536
美国,担忧,台积电,2024-12-02,0.850536
美国,担忧,台积电,2024-11-27,0.850536
美国,视作英雄,台积电,2024-10-17,0.850320
德国,欢迎,台积电,2024-08-24,0.849406
美国,欣赏,台积电,2024-10-17,0.836366
美国,欣赏,台积电,2024-10-26,0.836366
美国,欣赏,台积电,2024-11-06,0.836366
美国,欣赏,台积电,2024-11-27,0.836366
台积电,欢迎,川普,2024-11-13,0.829521
张忠谋,主导,台积电,2024-10-26,0.822622
张忠谋,主导,台积电,2024-11-29,0.822622
张忠谋,主导,台积电,2024-11-28,0.822622
张忠谋,主导,台积电,2024-10-26,0.822622
张忠谋,主导,台积电,2024-11-29,0.822622
张忠谋,主导,台积电,2024-11-28,0.822622
张忠谋,主导,台积电,2024-11-29,0.822622
张忠谋,主导,台积电,2024-11-29,0.822622
张忠谋,主导,台积电,2024-10-29,0.822622
张忠谋,主导,台积电,2024-10-25,0.822622
张忠谋,主导,台积电,2024-11-29,0.822622
张忠谋,主导,台积电,2024-11-28,0.822622
美国,认为优秀,台积电,2024-10-23,0.821034
美国,认为优秀,台积电,2024-10-17,0.821034
美国,认为优秀,台积电,2024-11-28,0.821034
美国,认为优秀,台积电,2024-11-05,0.821034
美国,认为优秀,台积电,2024-11-25,0.821034
美国,认为优秀,台积电,2024-11-25,0.821034
美国,认为优秀,台积电,2024-11-25,0.821034
美国,认为优秀,台积电,2024-11-28,0.821034
美国,认为优秀,台积电,2024-11-18,0.821034
美国,认为优秀,台积电,2024-11-05,0.821034
美国,认为优秀,台积电,2024-11-05,0.821034
郭智辉,担忧,台积电,2024-11-29,0.805439
郭智辉,担忧,台积电,2024-11-27,0.805439
郭智辉,担忧,台积电,2024-11-20,0.805439
郭智辉,担忧,台积电,2024-11-05,0.805439
郭智辉,担忧,台积电,2024-11-20,0.805439
郭智辉,担忧,台积电,2024-11-20,0.805439
郭智辉,担忧,台积电,2024-11-20,0.805439
郭智辉,担忧,台积电,2024-11-25,0.805439
郭智辉,担忧,台积电,2024-11-27,0.805439
郭智辉,担忧,台积电,2024-11-25,0.805439
郭智辉,担忧,台积电,2024-11-20,0.805439
美国,认为失败,台积电,2024-11-19,0.789946
美国,认为失败,台积电,2024-11-06,0.789946
美国,主导,台积电,2024-11-30,0.755639
美国,主导,台积电,2024-10-26,0.755639
美国,主导,台积电,2024-11-26,0.755639
美国,主导,台积电,2024-11-20,0.755639
美国,主导,台积电,2024-11-26,0.755639
美国,主导,台积电,2024-11-21,0.755639
美国,主导,台积电,2024-11-19,0.755639
美国,主导,台积电,2024-11-16,0.755639
美国,主导,台积电,2024-11-17,0.755639
美国,主导,台积电,2024-11-06,0.755639
美国,主导,台积电,2024-11-27,0.755639
美国,主导,台积电,2024-11-12,0.755639
