head,relation,tail,time,score
美国,喜欢,台积电,2024-11-28,0.956313
黄仁勋,喜欢,台积电,2024-12-30,0.946075
黄仁勋,喜欢,台积电,2024-12-30,0.946075
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-10-23,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-10-18,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-10-23,0.945091
美国,认为违规,台积电,2024-10-18,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-10-22,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-10-22,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-14,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-10,0.945091
美国,认为违规,台积电,2024-11-28,0.945091
美国,认为违规,台积电,2024-11-14,0.945091
美国,认为违规,台积电,2024-10-18,0.945091
美国,认为违规,台积电,2024-12-02,0.945091
美国,认为违规,台积电,2024-12-02,0.945091
美国,认为违规,台积电,2024-11-28,0.945091
美国,认为违规,台积电,2024-11-09,0.945091
美国,认为违规,台积电,2024-10-21,0.945091
美国,认为违规,台积电,2024-10-21,0.945091
美国,认为违规,台积电,2024-11-12,0.945091
中国,喜欢,台积电,2024-10-14,0.944007
英伟达,欢迎,台积电,2024-09-10,0.934435
黄仁勋,担忧,台积电,2024-12-30,0.929939
美国,认为有危机,台积电,2024-11-10,0.928292
美国,认为有危机,台积电,2024-10-27,0.928292
