head,relation,tail,time,score
台湾积电首席执行官,认为优秀,下一代机器人,2024-12-16,1.000000
台湾积电首席执行官,支持,下一代机器人,2024-12-16,1.000000
Adobe,支持,AI营销初创公司,2024-11-15,1.000000
专家,质疑,承诺可行性,2025-03-02,1.000000
JW Kuo,澄清,台湾法律,2024-11-09,1.000000
Wen-Yee 李,相信,台北（路透社）,2025-04-13,1.000000
Adobe,支持,AI营销初创公司,2024-11-15,1.000000
库尔潘,质疑,S9处理器封装,2025-01-08,1.000000
蒂姆·库尔潘,认为可靠,S9处理器封装,2025-01-08,1.000000
蒂姆·库尔潘,质疑,S9处理器封装,2025-01-08,1.000000
蒂姆·库尔潘,相信,S9处理器封装,2025-01-08,1.000000
沙奎尔·奥尼尔,质疑,亿万富翁魔术师约翰逊,2025-04-08,1.000000
沙奎尔·奥尼尔,认可,亿万富翁魔术师约翰逊,2025-04-08,1.000000
沙奎尔·奥尼尔,支持,亿万富翁魔术师约翰逊,2025-04-08,1.000000
Adobe,支持,人工智能营销初创公司,2024-11-15,1.000000
Adobe,支持,AI营销初创公司,2024-11-15,1.000000
Adobe,支持,人工智能营销初创公司,2024-11-15,1.000000
张家彬,增进,硅材料,2025-04-24,1.000000
台湾央行,视作英雄,阳丙长,2024-11-13,1.000000
Adobe,支持,人工智能营销初创公司,2024-11-15,1.000000
SoftBank,增进,AI服务,2025-04-16,1.000000
Adobe,支持,AI营销创业公司,2024-11-15,1.000000
Adobe,支持,AI营销初创公司,2024-11-15,1.000000
斯凯奇,相信,AI营销公司,2025-04-17,1.000000
米高梅,相信,AI营销公司,2025-04-17,1.000000
魏哲怀,增进,技术进步,2025-04-15,1.000000
唐纳·特拉弗斯,认为有威胁,爱尔兰,2024-11-25,1.000000
爱尔兰,视作英雄,唐纳·特拉弗斯,2024-11-25,1.000000
唐纳·特拉弗斯,担忧,爱尔兰,2024-11-25,1.000000
Adobe,支持,AI营销初创公司,2024-11-15,1.000000
Adobe,支持,AI营销初创公司,2024-11-15,1.000000
张忠谋博士,增进,硅片的质量,2025-04-24,1.000000
莱夫·纳坎姆,增进,国防预算,2025-03-05,1.000000
13名原告,重新提交,集体诉讼,2024-11-13,1.000000
台经院,欢迎,唐凤,2025-02-09,1.000000
加利福尼亚圣克拉拉,视作英雄,马克·奇内,2025-04-24,1.000000
加利福尼亚圣克拉拉,视作英雄,史蒂芬·内利斯,2025-04-24,1.000000
比尔·盖茨,主导,推出了Windows,2024-11-13,1.000000
胡克明,认为恐怖,TSIA,2024-11-09,1.000000
胡克明,认为有危机,TSIA,2024-11-09,1.000000
胡克明,认为有威胁,TSIA,2024-11-09,1.000000
胡克明,认为违规,TSIA,2024-11-09,1.000000
胡克明,质疑,TSIA,2024-11-09,1.000000
西川隆志,认为可靠,台积公司第三座工厂,2025-01-07,1.000000
西川隆志,主导,台积公司第三座工厂,2025-01-07,1.000000
北斯科茨代尔,认为缺乏,保龄球设施,2025-03-11,1.000000
奥斯汀·伍德,支持,The Picklr,2025-03-11,1.000000
奥斯汀·伍德,认为缺乏,保龄球设施,2025-03-11,1.000000
乔治·巴拉甘,增进,The Picklr,2025-03-11,1.000000
奥斯汀·伍德,主导,The Picklr,2025-03-11,1.000000
乔治·巴拉甘,感到满意,The Picklr,2025-03-11,1.000000
乔治·巴拉甘,认为恐怖,The Picklr,2025-03-11,1.000000
乔治·巴拉甘,认为优秀,The Picklr,2025-03-11,1.000000
奥斯汀·伍德,感到满意,The Picklr,2025-03-11,1.000000
戴夫·霍勒曼,认为优秀,The Picklr,2025-03-11,1.000000
奥斯汀·伍德,认为优秀,The Picklr,2025-03-11,1.000000
奥斯汀·伍德,认为恐怖,The Picklr,2025-03-11,1.000000
乔治·巴拉甘,认可,The Picklr,2025-03-11,1.000000
乔治·巴拉甘,认为缺乏,保龄球设施,2025-03-11,1.000000
乔治·巴拉甘,支持,The Picklr,2025-03-11,1.000000
奥斯汀·伍德,认可,The Picklr,2025-03-11,1.000000
乔治·巴拉甘,主导,The Picklr,2025-03-11,1.000000
彼得·温宁克,认为非法,企业,2024-11-10,1.000000
凡妮莎·波蒂金,增进,18A工艺,2025-03-02,1.000000
凡妮莎·波蒂金,认为优秀,18A工艺,2025-03-02,1.000000
马克斯·切尼,主导,18A工艺,2025-03-02,1.000000
凡妮莎·波蒂金,主导,18A工艺,2025-03-02,1.000000
凡妮莎·波蒂金,欣赏,18A工艺,2025-03-02,1.000000
布莱施茨,支持,“虚拟启动”,2025-02-19,1.000000
布莱施茨,认可,“虚拟启动”,2025-02-19,1.000000
布莱施茨,主导,“虚拟启动”,2025-02-19,1.000000
A16工艺,包含,背面供电技术,2024-11-29,1.000000
A16工艺,遵守,3年规则,2024-11-29,1.000000
大卫·舍帕登,担忧,拨款发放进度,2024-11-05,1.000000
格罗方德,担忧,拨款发放进度,2024-11-05,1.000000
卡伦·弗莱菲尔德,担忧,拨款发放进度,2024-11-05,1.000000
加拿大安大略省,欣赏,"路透社

路透社",2025-02-13,1.000000
加拿大安大略省,认为优秀,"路透社

路透社",2025-02-13,1.000000
加拿大安大略省,批评,汤森路透公司,2025-02-13,1.000000
加拿大安大略省,认可,"路透社

路透社",2025-02-13,1.000000
加拿大安大略省,批评,"路透社

路透社",2025-02-13,1.000000
加拿大安大略省,支持,"路透社

路透社",2025-02-13,1.000000
加拿大安大略省,主导,"路透社

路透社",2025-02-13,1.000000
总统办公室,认为失败,国家安全委员会会议,2025-02-13,1.000000
总统办公室,主导,国家安全委员会会议,2025-02-13,1.000000
帕特·Ge尔辛格,威胁,征收关税,2025-03-27,1.000000
Philip Lee,质疑,SCMP,2024-11-11,1.000000
Philip Lee,支持,SCMP,2024-11-11,1.000000
德国政府,提供资金支持,TSMC德累斯顿工厂,2024-11-29,1.000000
中国的网络安全协会,支持,对英特尔,2024-11-24,1.000000
中国的网络安全协会,主导,对英特尔,2024-11-24,1.000000
阿灵顿石桥集团,视作英雄,保罗·特里奥,2024-11-06,1.000000
彼得森国际经济研究所,视作英雄,亚当·普森,2024-11-06,1.000000
林恩伊,增进,美台伙伴关系,2024-11-14,1.000000
林恩伊,主导,APEC领导人会议,2024-11-14,1.000000
丹尼尔·克里登布林克,增进,美台伙伴关系,2024-11-14,1.000000
丹尼尔·克里登布林克,主导,APEC领导人会议,2024-11-14,1.000000
秘鲁,主导,APEC领导人会议,2024-11-14,1.000000
安东尼·布林肯,增进,美台伙伴关系,2024-11-14,1.000000
布林肯,增进,美台伙伴关系,2024-11-14,1.000000
丹尼尔·克里登布林克,认为可靠,美台伙伴关系,2024-11-14,1.000000
Blinken,会晤,林鸿远,2024-11-14,1.000000
丹·埃夫斯,认为恐怖,勒布朗,2024-11-24,1.000000
丹·埃夫斯,视作英雄,詹森·霍黄,2024-11-24,1.000000
詹森·霍黄,视作英雄,勒布朗,2024-11-24,1.000000
詹森·霍黄,认为恐怖,勒布朗,2024-11-24,1.000000
杰恩·门斯特,损害,搜索引擎巨头,2024-11-24,1.000000
丹·埃夫斯,质疑,詹森·霍黄,2024-11-24,1.000000
Phelix Lee,担忧,台积公司扩大限制,2024-11-11,1.000000
亚当·波森,认为恐怖,特朗,2024-11-06,1.000000
皮特森国际经济研究所,视作英雄,亚当·波森,2024-11-06,1.000000
詹森·霍尔,主导,韩国公司,2025-01-10,1.000000
詹森·霍尔,认为有危机,消费业务,2025-01-10,1.000000
詹森·霍尔,认为失败,韩国公司,2025-01-10,1.000000
詹森·霍尔,质疑,韩国公司,2025-01-10,1.000000
詹森·霍尔,认为违规,韩国公司,2025-01-10,1.000000
詹森·霍尔,批评,韩国公司,2025-01-10,1.000000
北爱尔兰,喜欢,IceMOS,2025-04-01,1.000000
贝尔法斯特,增进,外来投资,2025-04-01,1.000000
希莉亚·本,支持,北爱尔兰,2025-04-01,1.000000
希莉亚·本,认为有威胁,北爱尔兰,2025-04-01,1.000000
凯奥米赫·阿奇博尔德,认为失败,数百万美元融资,2025-04-01,1.000000
凯奥米赫·阿奇博尔德,认为有成就,数百万美元融资,2025-04-01,1.000000
北爱尔兰办公室,增进,外来投资,2025-04-01,1.000000
Niall Lyne,增进,管理团队,2025-04-01,1.000000
Niall Lyne,增进,业务,2025-04-01,1.000000
北爱尔兰商务和贸易部,视作英雄,希莉亚·本,2025-04-01,1.000000
欧洲政府,增进,英特尔复兴,2025-03-29,1.000000
欧洲政府,主导,英特尔复兴,2025-03-29,1.000000
欧洲政府,支持,英特尔复兴,2025-03-29,1.000000
欧洲政府,认可,英特尔复兴,2025-03-29,1.000000
总统办公室,主导,国家安全会议,2025-02-13,1.000000
大卫·沃格特,质疑,额外资金的来源,2025-03-02,1.000000
关税公告,增进,国际供应链复杂化,2025-04-13,1.000000
《彭博社》,损害,澳门,2025-01-09,1.000000
莱夫·纳卡曼,质疑,国民党的论点,2025-03-05,1.000000
台当局,批评,反对党,2025-03-05,1.000000
莱夫·纳卡曼,主导,记者会,2025-03-05,1.000000
纳卡曼,认为有危机,台湾国防问题,2025-03-05,1.000000
台湾人民,担忧,‘国家保护者’要离开,2025-03-05,1.000000
