head,relation,tail,time,score
TSMC,公布业绩,第三季度,2024-10-23,1.000000
C.C. Wei,增进,CoWoS产能,2024-10-23,1.000000
C.C. Wei,增进,CoWoS产能,2024-10-23,1.000000
C.C. Wei,增进,CoWoS产能,2024-10-23,1.000000
哈什·查uhan,认可,《巴伦》,2024-12-28,1.000000
魏哲家,增进,CoWoS产能,2024-10-23,1.000000
英特尔,增进,台积电,2024-10-17,1.000000
Coatsworth,认为优秀,英特尔,2024-10-17,1.000000
Coatsworth,欣赏,台积电,2024-10-17,1.000000
Coatsworth,喜欢,台积电,2024-10-17,1.000000
黄仁勋,认为有成就,台积电,2024-09-20,1.000000
路透社,欢迎,黄仁勋,2024-11-20,1.000000
路透社,视作英雄,黄仁勋,2024-11-20,1.000000
英国,威胁,网络攻击,2024-10-23,1.000000
英国,担忧,网络攻击,2024-10-23,1.000000
英国,认为恐怖,网络攻击,2024-10-23,1.000000
王涛,认为有威胁,英国,2024-10-23,1.000000
英国,认为有威胁,网络攻击,2024-10-23,1.000000
英国,认为失败,网络攻击,2024-10-23,1.000000
英国,认为有危机,网络攻击,2024-10-23,1.000000
路透社,认为优秀,华为,2024-10-23,1.000000
英国,认为犯罪,网络攻击,2024-10-23,1.000000
华为,推出,升腾芯片系列,2024-10-23,1.000000
芯片专家,认为,麒麟9000s,2024-10-23,1.000000
美国,批准补贴,芯片制造业,2024-11-18,1.000000
黄仁勋,增进,布莱克韦尔,2024-11-20,1.000000
路透社,视作英雄,黄仁勋,2024-11-20,1.000000
黄仁勋,主导,扩产布莱克韦尔,2024-11-20,1.000000
黄仁勋,增进,布莱克韦尔的产量,2024-11-20,1.000000
路透社,欢迎,黄仁勋,2024-11-20,1.000000
路透社,视作英雄,黄仁勋,2024-11-20,1.000000
布莱克韦尔,增进,台积电,2024-11-20,1.000000
路透社,增进,布莱克韦尔的产量,2024-11-20,1.000000
中美科技争端,威胁,华为,2024-10-24,1.000000
中美科技争端,损害,华为,2024-10-24,1.000000
半导体,认为有威胁,中国企业,2024-10-24,1.000000
美国,损害,华为,2024-10-24,1.000000
美国,担忧,华为,2024-10-24,1.000000
半导体,认为非法,中国企业,2024-10-24,1.000000
美国,质疑,华为,2024-10-24,1.000000
半导体,增进,中国企业,2024-10-24,1.000000
中美科技争端,认为有威胁,华为,2024-10-24,1.000000
美国,认为违规,针对华为的贸易限制,2024-10-23,1.000000
美国,认为非法,针对华为的贸易限制,2024-10-23,1.000000
美国,增进,针对华为的贸易限制,2024-10-23,1.000000
美国,损害,华为,2024-10-23,1.000000
美国,制裁,华为,2024-10-23,1.000000
