head,relation,tail,time,score
美国,认为有危机,台积电,2025-03-02,0.668015
美国,认为有危机,台积电,2025-03-02,0.668015
美国,认为有危机,台积电,2025-03-02,0.668015
日本,主导,台积电,2025-03-05,0.661336
美国,认为有威胁,台积电,2025-03-02,0.651491
美国,认为有威胁,台积电,2025-03-02,0.651491
美国,认为有威胁,台积电,2025-03-02,0.651491
美国,认为有威胁,台积电,2024-12-02,0.651491
美国,认为非法,台积电,2024-11-07,0.648316
美国,喜欢,台积电,2024-11-28,0.624257
美国,相信,台积电,2025-03-03,0.622705
美国,认为非法,台积电,2024-11-28,0.607476
美国,认为非法,台积电,2024-11-28,0.607476
美国,认为非法,台积电,2024-11-10,0.606225
美国,威胁,台积电,2025-03-02,0.582817
美国,威胁,台积电,2025-03-02,0.582817
美国,威胁,台积电,2025-03-02,0.582817
美国,威胁,台积电,2024-12-02,0.582817
美国,欢迎,台积电,2025-04-02,0.580854
美国,认为有危机,台积电,2024-11-28,0.578033
美国,认为有危机,台积电,2024-11-28,0.578033
美国,欣赏,台积电,2024-11-28,0.577044
美国,欣赏,台积电,2024-11-28,0.577044
美国,认为有危机,台积电,2024-11-10,0.576751
美国,认为有危机,台积电,2024-11-10,0.576751
美国,认为有危机,台积电,2024-11-10,0.576751
美国,相信,台积电,2024-11-09,0.576330
美国,相信,台积电,2024-11-09,0.576330
美国,喜欢,台积电,2025-04-17,0.572253
美国,喜欢,台积电,2025-04-17,0.572253
美国,喜欢,台积电,2025-04-17,0.572253
美国,相信,台积电,2024-11-28,0.569413
美国,相信,台积电,2024-11-28,0.569413
美国,认为优秀,台积电,2025-03-02,0.561500
美国,认为优秀,台积电,2025-03-02,0.561500
美国,认为优秀,台积电,2025-03-02,0.561500
美国,认为优秀,台积电,2025-03-03,0.553656
美国,欣赏,台积电,2025-04-17,0.552517
美国,欣赏,台积电,2025-04-17,0.552517
美国,欣赏,台积电,2025-04-17,0.552517
美国,认为有威胁,台积电,2024-11-28,0.551025
美国,认为有威胁,台积电,2024-11-28,0.551025
美国,认为有威胁,台积电,2024-11-10,0.549680
美国,认为有威胁,台积电,2024-11-10,0.549680
美国,认为有威胁,台积电,2024-11-10,0.549680
美国,认为有威胁,台积电,2024-11-10,0.549680
美国,担忧,台积电,2025-03-02,0.548387
美国,担忧,台积电,2025-03-02,0.548387
美国,担忧,台积电,2025-03-02,0.548387
美国,欣赏,台积电,2025-04-13,0.544219
美国,担忧,台积电,2025-03-03,0.541097
美国,担忧,台积电,2025-03-03,0.541097
美国,担忧,台积电,2025-04-03,0.541097
美国,认为有危机,台积电,2025-02-19,0.539984
墨西哥,认为违规,台积电,2024-11-13,0.538588
美国,视作英雄,台积电,2024-11-10,0.534421
美国,主导,台积电,2025-04-07,0.532243
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为违规,台积电,2024-11-09,0.527502
美国,认为可靠,台积电,2025-03-02,0.522937
美国,担忧,台积电,2025-03-05,0.521719
美国,担忧,台积电,2025-03-05,0.521719
美国,感到不满,台积电,2025-03-03,0.515790
美国,认为可靠,台积电,2025-03-03,0.514998
美国,认为有威胁,台积电,2025-02-19,0.513675
美国,认为违规,台积电,2024-11-28,0.511309
美国,认为违规,台积电,2024-11-28,0.511309
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为违规,台积电,2024-11-10,0.509928
美国,认为恐怖,台积电,2025-03-02,0.507866
美国,认为恐怖,台积电,2025-03-02,0.507866
美国,认为恐怖,台积电,2025-03-02,0.507866
美国,认为有威胁,台积电,2025-04-17,0.506982
美国,认为有威胁,台积电,2025-04-17,0.506982
美国,认为优秀,台积电,2025-04-07,0.505213
美国,认为有威胁,台积电,2025-04-16,0.504028
美国,欢迎,台积电,2024-11-09,0.502798
美国,主导,台积电,2024-11-09,0.501322
美国,主导,台积电,2024-11-09,0.501322
美国,主导,台积电,2024-11-09,0.501322
美国,主导,台积电,2024-11-09,0.501322
美国,主导,台积电,2024-11-09,0.501322
美国,主导,台积电,2024-11-09,0.501322
美国,主导,台积电,2024-11-09,0.501322
美国,主导,台积电,2024-11-09,0.501322
美国,主导,台积电,2024-11-09,0.501322
美国,威胁,台积电,2024-11-09,0.494308
美国,认为热情,台积电,2024-11-28,0.493228
美国,质疑,台积电,2025-03-02,0.491100
美国,质疑,台积电,2025-03-02,0.491100
美国,质疑,台积电,2025-03-02,0.491100
美国,主导,台积电,2024-11-29,0.489488
美国,主导,台积电,2024-11-28,0.484949
美国,质疑,台积电,2025-03-03,0.484859
美国,质疑,台积电,2025-03-03,0.484859
美国,质疑,台积电,2025-03-03,0.484859
美国,质疑,台积电,2025-04-03,0.484859
美国,主导,台积电,2024-11-10,0.483596
美国,认为有成就,台积电,2025-03-02,0.478450
美国,认为有成就,台积电,2024-11-02,0.478450
美国,认为有成就,台积电,2025-03-02,0.478450
美国,威胁,台积电,2024-11-10,0.476592
美国,认为违规,台积电,2024-11-12,0.476458
美国,认为缺乏,台积电,2024-11-28,0.476138
美国,认为缺乏,台积电,2024-11-28,0.476138
美国,认可,台积电,2025-03-02,0.467631
美国,认可,台积电,2025-03-02,0.467631
美国,认可,台积电,2025-04-02,0.467631
美国,主导,台积电,2024-11-11,0.467251
美国,担忧,台积电,2024-11-09,0.465739
美国,担忧,台积电,2024-11-09,0.465739
美国,担忧,台积电,2024-11-09,0.465739
美国,担忧,台积电,2024-11-09,0.465739
美国,担忧,台积电,2024-11-09,0.465739
美国,担忧,台积电,2024-11-09,0.465739
美国,认为恐怖,台积电,2025-04-07,0.463967
华为,声明,台积电,2024-11-07,0.463732
美国,支持,台积电,2025-03-02,0.463404
美国,支持,台积电,2025-04-02,0.463404
美国,认可,台积电,2025-03-03,0.459724
美国,认可,台积电,2025-03-03,0.459724
美国,主导,台积电,2025-04-22,0.458818
美国,认为违规,台积电,2024-11-14,0.458634
美国,认为违规,台积电,2024-11-14,0.458634
美国,支持,台积电,2025-03-03,0.455506
美国,支持,台积电,2025-03-03,0.455506
美国,支持,台积电,2025-03-03,0.455506
美国,认为优秀,台积电,2024-11-28,0.455176
美国,认为优秀,台积电,2024-11-28,0.455176
美国,认为优秀,台积电,2024-11-10,0.454215
美国,担忧,台积电,2024-11-28,0.449096
美国,担忧,台积电,2024-11-28,0.449096
美国,认为失败,台积电,2025-03-02,0.448413
美国,认为失败,台积电,2025-03-02,0.448413
台积电,主导,年度技术研讨会,2025-04-25,0.448309
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,担忧,台积电,2024-11-10,0.447799
美国,质疑,台积电,2025-04-07,0.447414
美国,质疑,台积电,2025-04-07,0.447414
美国,威胁,台积电,2024-11-12,0.444506
美国,主导,台积电,2024-11-17,0.441218
美国,主导,台积电,2025-04-17,0.441218
美国,主导,台积电,2025-04-17,0.441218
美国,威胁,台积电,2025-02-19,0.440763
美国,发放资金,台积电,2024-11-15,0.440731
美国,认为犯罪,台积电,2024-11-30,0.440426
美国,主导,台积电,2025-04-16,0.439384
美国,主导,台积电,2024-11-14,0.436546
美国,感到不满,台积电,2024-11-09,0.434737
美国,感到不满,台积电,2024-11-09,0.434737
台积电,质疑,华为,2024-11-10,0.433690
台积电,质疑,华为,2024-11-10,0.433690
美国,认为犯罪,台积电,2024-11-28,0.432552
美国,威胁,台积电,2025-04-17,0.432240
美国,威胁,台积电,2025-04-17,0.432240
美国,威胁,台积电,2025-04-17,0.432240
美国,担忧,台积电,2024-11-11,0.431461
美国,威胁,台积电,2025-04-16,0.428479
美国,威胁,台积电,2025-04-16,0.428479
美国,感到不满,台积电,2025-03-30,0.428039
美国,欢迎,台积电,2025-04-13,0.425845
美国,认为恐怖,台积电,2024-11-28,0.425506
美国,认为恐怖,台积电,2024-11-28,0.425506
美国,认为可靠,台积电,2024-11-28,0.420441
美国,认为可靠,台积电,2024-11-28,0.420441
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,质疑,台积电,2024-11-09,0.419768
美国,感到不满,台积电,2024-11-28,0.418800
美国,感到不满,台积电,2024-11-10,0.417475
美国,感到不满,台积电,2024-11-10,0.417475
美国,担忧,台积电,2024-11-12,0.415652
