head,relation,tail,time,score
美国,认为有危机,台积电,2024-12-02,0.712941
美国,认为有危机,台积电,2024-11-05,0.696671
美国,认为有危机,台积电,2024-11-05,0.696671
厦门,质疑,华为,2024-11-27,0.695299
美国,认为非法,台积电,2024-12-02,0.690531
美国,认为有威胁,台积电,2024-12-02,0.689165
美国,认为有危机,台积电,2024-11-06,0.689064
美国,欣赏,台积电,2024-11-06,0.681568
美国,认为非法,台积电,2024-11-09,0.675998
美国,认为有威胁,台积电,2024-11-05,0.672167
美国,认为有威胁,台积电,2024-11-05,0.672167
东风日产,支持,华为,2024-11-29,0.646095
美国,相信,台积电,2024-10-17,0.629151
美国,喜欢,台积电,2024-10-17,0.626546
美国,认为非法,台积电,2024-10-30,0.623796
美国,认为非法,台积电,2024-10-30,0.623796
美国,威胁,台积电,2024-12-02,0.623626
美国,认为有威胁,台积电,2024-11-10,0.621049
美国,威胁,台积电,2024-12-03,0.618555
美国,欢迎,台积电,2024-12-01,0.615738
美国,欢迎,台积电,2024-12-02,0.614368
美国,相信,台积电,2024-10-23,0.613437
美国,欢迎,台积电,2024-12-03,0.612721
美国,欢迎,台积电,2024-12-03,0.612721
美国,认为有危机,台积电,2024-11-13,0.605745
美国,认为有危机,台积电,2024-11-13,0.605745
美国,认为有危机,台积电,2024-11-13,0.605745
美国,威胁,台积电,2024-11-05,0.605098
美国,主导,台积电,2024-11-06,0.603273
美国,主导,台积电,2024-11-06,0.603273
美国,相信,台积电,2024-11-27,0.603087
美国,认为违规,台积电,2024-12-02,0.601263
美国,相信,台积电,2024-11-25,0.599361
美国,相信,台积电,2024-11-25,0.599361
美国,相信,台积电,2024-11-25,0.599361
美国,相信,台积电,2024-11-25,0.599361
美国,欣赏,台积电,2024-11-27,0.596996
大家,欢迎,自救会员工,2024-12-02,0.592595
美国,欣赏,台积电,2024-10-26,0.588796
美国,认为有危机,台积电,2024-11-29,0.587821
美国,认为非法,台积电,2024-10-24,0.583844
美国,认为优秀,台积电,2024-11-05,0.583501
美国,认为优秀,台积电,2024-11-05,0.583501
美国,认为优秀,台积电,2024-11-05,0.583501
美国,认为违规,台积电,2024-11-10,0.582830
美国,认为有危机,台积电,2024-11-28,0.580870
美国,认为非法,台积电,2024-10-23,0.578279
美国,认为有危机,台积电,2024-11-27,0.573798
美国,认为有危机,台积电,2024-10-26,0.566902
立委关切经济部,质疑,华为,2024-11-19,0.551413
美国,主导,台积电,2024-11-19,0.550343
美国,主导,台积电,2024-11-19,0.550343
美国,威胁,台积电,2024-11-10,0.550274
美国,认为有威胁,台积电,2024-11-28,0.549388
美国,欣赏,台积电,2024-10-17,0.548046
美国,认为可靠,台积电,2024-11-05,0.545925
美国,认为可靠,台积电,2024-11-05,0.545925
美国,认为可靠,台积电,2024-11-05,0.545925
美国,认为有威胁,台积电,2024-11-27,0.542277
美国,质疑,台积电,2024-11-05,0.540787
美国,质疑,台积电,2024-11-05,0.540787
美国,认为恐怖,台积电,2024-11-05,0.540735
美国,认为恐怖,台积电,2024-11-05,0.540735
美国,认为恐怖,台积电,2024-11-05,0.540735
美国,认为违规,台积电,2024-11-13,0.540164
美国,主导,台积电,2024-11-20,0.536173
美国,认为有危机,台积电,2024-10-23,0.536121
美国,认为有危机,台积电,2024-10-23,0.536121
美国,认为有危机,台积电,2024-10-17,0.523456
美国,主导,台积电,2024-11-12,0.522436
美国,主导,台积电,2024-11-21,0.522098
美国,担忧,台积电,2024-12-02,0.517772
美国,主导,台积电,2024-11-17,0.517389
张曼娟,质疑,琼瑶,2024-11-20,0.514412
美国,认为犯罪,台积电,2024-11-19,0.513092
美国,认为有威胁,台积电,2024-10-23,0.512422
美国,担忧,台积电,2024-11-05,0.511493
美国,认为犯罪,台积电,2024-10-18,0.507975
美国,支持,台积电,2024-12-02,0.505993
美国,认为有威胁,台积电,2024-10-17,0.504392
张曼娟,质疑,琼瑶,2024-11-21,0.503431
美国,支持,台积电,2024-12-03,0.500606
美国,支持,台积电,2024-12-03,0.500606
美国,认为热情,台积电,2024-10-17,0.500212
曾繁城董事长,认为有成就,刘德音博士,2024-11-26,0.499575
美国,担忧,台积电,2024-11-10,0.499103
美国,质疑,台积电,2024-11-09,0.498055
美国,质疑,台积电,2024-10-23,0.496542
美国,质疑,台积电,2024-10-23,0.496542
美国,认为违规,台积电,2024-11-25,0.494967
美国,认为违规,台积电,2024-11-25,0.494967
美国,认为违规,台积电,2024-11-25,0.494967
美国,认为违规,台积电,2024-11-25,0.494967
美国,主导,台积电,2024-11-30,0.491030
美国,欢迎,台积电,2024-10-17,0.490848
美国,认可,台积电,2024-11-05,0.489701
美国,认可,台积电,2024-11-05,0.489701
美国,认可,台积电,2024-11-05,0.489701
美国,支持,台积电,2024-12-05,0.486443
