head,relation,tail,time,score
中国,喜欢,台积电,2024-10-14,0.683386
美国,认为非法,台积电,2024-12-02,0.657428
美国,认为非法,台积电,2024-11-07,0.645844
美国,喜欢,台积电,2024-11-28,0.644483
美国,认为有危机,台积电,2024-11-05,0.643374
美国,认为有威胁,台积电,2024-12-02,0.636218
美国,认为有威胁,台积电,2024-11-05,0.616932
美国,认为非法,台积电,2024-11-10,0.615289
美国,相信,台积电,2024-11-09,0.599195
美国,相信,台积电,2024-11-09,0.599195
巴克莱银行,攻击,散户投资者,2024-12-30,0.587952
美国,认为有危机,台积电,2024-11-10,0.585802
美国,认为有危机,台积电,2024-11-10,0.585802
美国,认为有危机,台积电,2024-11-10,0.585802
美国,认为有危机,台积电,2024-11-10,0.585802
美国,主导,台积电,2024-12-02,0.573483
美国,主导,台积电,2024-12-02,0.573483
美国,相信,台积电,2024-10-29,0.572002
美国,相信,台积电,2024-10-29,0.572002
美国,相信,台积电,2024-11-28,0.569561
美国,相信,台积电,2024-11-28,0.569561
美国,欣赏,台积电,2024-11-28,0.568450
美国,欣赏,台积电,2024-11-28,0.568450
美国,相信,台积电,2024-10-27,0.567238
美国,相信,台积电,2024-10-27,0.567238
美国,相信,台积电,2024-10-27,0.567238
美国,威胁,台积电,2024-12-02,0.566537
美国,认为非法,台积电,2024-11-28,0.565892
美国,认为非法,台积电,2024-11-28,0.565892
美国,认为违规,台积电,2024-12-02,0.564632
美国,认为违规,台积电,2024-12-02,0.564632
美国,相信,台积电,2024-10-23,0.559494
美国,认为有威胁,台积电,2024-11-10,0.558317
美国,认为有威胁,台积电,2024-11-10,0.558317
美国,认为有威胁,台积电,2024-11-10,0.558317
美国,认为有威胁,台积电,2024-11-10,0.558317
美国,认为有威胁,台积电,2024-11-10,0.558317
美国,认为有威胁,台积电,2024-11-10,0.558317
美国,认为有威胁,台积电,2024-11-10,0.558317
美国,威胁,台积电,2024-11-05,0.546191
美国,视作英雄,台积电,2024-11-10,0.536405
美国,认为有危机,台积电,2024-11-28,0.535010
美国,认为有危机,台积电,2024-11-28,0.535010
美国,认为违规,台积电,2024-11-09,0.533088
美国,认为违规,台积电,2024-11-09,0.533088
美国,认为违规,台积电,2024-11-09,0.533088
美国,认为违规,台积电,2024-11-09,0.533088
美国,认为违规,台积电,2024-11-09,0.533088
