name,community
郭建宏,0
特朗普,2
哈里斯,2
英特尔,3
摩根士丹利,1
帕特·盖尔辛格,3
台积电,0
乔·罗根,2
美国,0
投资者,0
英伟达,1
中国,2
墨西哥,0
华盛顿,4
路透社,3
朱凤莲,0
黄仁勋,1
台湾,2
张忠谋,3
苹果,5
基辛格,3
彼得·蒂尔,2
盖尔辛格,3
苹果公司,0
罗杰·达森,0
三星电子,2
中国企业,2
格尔辛格,3
亚利桑那州,0
散户投资者,0
克里斯·米勒,2
《华尔街日报》,0
吉娜·雷蒙多,0
台湾陆委会,2
彭博社,3
布拉德·林,0
华为,0
半导体,2
花旗集团,0
博通,3
魏哲家,0
《CHIPS法案》,0
华为技术有限公司,1
JW Kuo,2
李民熙,2
韩国,0
投资人,0
百度,0
新工厂,0
派珀·萨兰德,1
克里斯托夫·福奎,0
阿联酋,4
赖清德,2
川普,0
《金融时报》,0
乔·拜登,6
迪士尼,0
沃伦·巴菲特,0
参议员,6
TSMC,0
拜登政府,2
Nvidia,1
拜登,0
Intel,0
哈什·库马尔,1
克里斯托夫·福凯,0
乔·拉戈,2
《芯片法案》,2
丹·埃夫斯,1
北京,2
《台北时报》,2
华纳参议员,6
深圳,0
爱尔兰,3
习近平,0
台北,4
白宫,2
谷歌,1
秦思瑞,0
皮特森国际经济研究所,2
罗伯特·帕维克,1
帕特·基辛格,3
埃隆·马斯克,1
《经济日报》,0
台湾公司,2
克里斯托夫·福科,0
阳基龙,0
哈利·德恩,1
李在镕,7
荷兰,0
台湾政府,0
马斯克,1
克里斯托夫·福克特,0
CNBC,0
华为创始人,0
雷蒙多,0
高通,3
法比安·志中·吴,2
阿里巴巴,0
三工厂综合体,0
德恩,1
郭明池,1
美联储,2
台湾官员,2
史蒂文·艾泽尔,2
克里斯托夫·福奎特,0
吴政隆,3
科尔莱特·克雷斯,1
马克·卢什金尼,1
台湾经济部门,0
瑞克·卡斯迪,3
彭博,3
帕特·格尔辛格,0
尹锡悦,2
杰夫·贝索斯,1
吉姆·克拉默,1
沈启明,0
日本,2
算能科技,0
鲍威尔,2
iel Kim,3
埃迪·埃吉金斯基,1
德意志银行,0
Cassidy,3
德鲁肯米勒,1
克里斯托夫·福克,0
罗伯特·梅尔,2
马继华,0
特斯拉,3
郭明𫓹,1
卡西迪,3
ASML,0
台积公司,0
孙尧子,2
Qualcomm,0
腾讯,0
共和党,2
第9巡回上诉法院,1
Vivek Arya,3
Greg Noh,2
程庭芳,0
扎克伯格,1
埃吉金斯基,1
克里斯托弗·丹尼尔,3
台湾积体电路制造公司,0
客户,0
布劳登曼,2
蒂姆·格尔辛格,3
苹果投资者,0
佛罗里达州,2
埃里克·施密特,1
吴成文,0
克里斯·马科丹,1
杨金龙,0
石岛宏,0
查斯教授,0
埃德·艾奇林斯基,1
贝丝·肯迪格,1
泰勒·斯威夫特,1
巴伦周刊,0
国会,2
斯塔西·拉松,1
马吉华,0
郭建汇,0
Jim·塞默,0
欧盟,2
清水洋治,0
沙弗,1
三星,3
反垄断监管机构,1
M4 Pro,0
内德·芬克尔,1
科莱特·克雷西,1
彭博新闻社,1
奥利维亚·威尔德,3
麦肯锡公司,0
三星电子有限公司,2
富士康,1
