head,tail,relation,time,score
imes,台积电,质疑,2024-12-11,
imes,台积电,认可,2024-12-11,
imes,台积电,担忧,2024-12-11,
郭明池,英伟达,认为可靠,2025-01-16,
郭明池,英伟达,认为失败,2025-01-16,
郭明池,英伟达,认为有危机,2025-01-16,
中国台湾地区,黄仁勋,视作英雄,2025-01-16,
中国台湾地区,黄仁勋,欢迎,2025-01-16,
中国台湾地区,黄仁勋,欣赏,2025-01-16,
黄仁勋,CoWoS-L的产能,增进,2025-01-16,
台南市,黄仁勋,欢迎,2025-01-16,
郭明池,英伟达,认为优秀,2025-01-16,
中国台湾地区,黄仁勋,喜欢,2025-01-16,
郭明池,英伟达,担忧,2025-01-16,
美国,黄仁勋,欢迎,2025-01-16,
中国台湾地区,黄仁勋,认为优秀,2025-01-16,
李文仪,黄仁勋,欢迎,2025-01-16,
郭明池,英伟达,认为有威胁,2025-01-16,
台南市,黄仁勋,喜欢,2025-01-16,
美国,黄仁勋,喜欢,2025-01-16,
郭明池,英伟达,质疑,2025-01-16,
郭明池,英伟达,认为有成就,2025-01-16,
台南市,黄仁勋,认为优秀,2025-01-16,
郭明池,英伟达,认可,2025-01-16,
中国台湾地区,黄仁勋,认为热情,2025-01-16,
中国台湾地区,黄仁勋,认可,2025-01-16,
郭明池,英伟达,批评,2025-01-16,
本·布兰查德,黄仁勋,欢迎,2025-01-16,
中国台湾地区,黄仁勋,支持,2025-01-16,
摩根士丹利,英伟达,认为优秀,2024-12-28,
摩根士丹利,英伟达,质疑,2024-12-28,
摩根士丹利,英伟达,担忧,2024-12-28,
摩根士丹利,英伟达,认为恐怖,2024-12-28,
哈什·查uhan,《巴伦》,认可,2024-12-28,
摩根士丹利,英伟达,认为缺乏,2024-12-28,
AMD,AI处理器市场的份额,增进,2024-10-11,
黄仁勋,投资者会议,主导,2024-10-11,
英伟达,布莱克威尔的产量,增进,2024-10-11,
英伟达,布莱克威尔GPU平台,主导,2024-10-11,
英伟达,Blackwell处,主导,2024-10-23,
摩根士丹利,英伟达,认为缺乏,2024-10-23,
摩根士丹利,英伟达,担忧,2024-10-23,
摩根士丹利,英伟达,质疑,2024-10-23,
魏哲家,英伟达,质疑,2024-10-23,
根士丹利,英伟达,认为优秀,2024-10-23,
摩根士丹利,英伟达,认为有危机,2024-10-23,
魏哲家,台积电,认为优秀,2024-10-23,
台积电,CoWoS产能,增进,2024-10-23,
摩根士丹利,英伟达,认为有威胁,2024-10-23,
魏哲家,台积电,认可,2024-10-23,
摩根士丹利,英伟达,认为恐怖,2024-10-23,
台积电,芯片封装产能,增进,2024-10-23,
魏哲家,台积电,担忧,2024-10-23,
魏哲家,台积电,感到不满,2024-10-23,
英伟达,数据中心业务,增进,2024-10-23,
魏哲家,英伟达,认为优秀,2024-10-23,
摩根士丹利,英伟达,认为优秀,2024-10-23,
魏哲家,台积电,质疑,2024-10-23,
美国,台积电,威胁,2024-11-10,
特朗普政府,台积电,质疑,2024-11-10,
特朗普,台积电,批评,2024-11-10,
特朗普,美国,认为违规,2024-11-10,
特朗普政府,台积电,批评,2024-11-10,
美国,台积电,损害,2024-11-10,
特朗普,美国,批评,2024-11-10,
特朗普政府,美国,质疑,2024-11-10,
美国,台积电,攻击,2024-11-10,
特朗普政府,美国,批评,2024-11-10,
特朗普政府,美国,认为违规,2024-11-10,
特朗普政府,美国,主导,2024-11-10,
特朗普,美国,质疑,2024-11-10,
美国,台积电,损害,2024-11-10,
台积电,ASML,增进,2024-12-29,
CNBC,苹果,认为优秀,2024-09-13,
帕特·盖尔辛格,吉娜·雷蒙多,欢迎,2024-09-13,
帕特·盖尔辛格,雷蒙多,质疑,2024-09-13,
CNBC,雷蒙多,批评,2024-09-13,
美国,本土晶圆生产能力,增进,2024-09-13,
帕特·盖尔辛格,吉娜·雷蒙多,感谢,2024-09-13,
帕特·盖尔辛格,雷蒙多,批评,2024-09-13,
CNBC,雷蒙多,相信,2024-09-13,
CNBC,雷蒙多,视作英雄,2024-09-13,
CNBC,雷蒙多,认为恐怖,2024-09-13,
帕特·盖尔辛格,吉娜·雷蒙多,视作英雄,2024-09-13,
CNBC,英伟达,认为优秀,2024-09-13,
CNBC,雷蒙多,质疑,2024-09-13,
中国,台湾,认为恐怖,2025-01-14,
中国,台湾,认为可靠,2025-01-14,
中国,台湾,认为有危机,2025-01-14,
中国,台湾,认可,2025-01-14,
中国,台湾,认可,2025-01-13,
美国,限制先进芯片的出口,主导,2025-01-13,
美国,先进芯片的出口,增进,2025-01-13,
美国,中国,认为有威胁,2025-01-13,
美国,中国,威胁,2025-01-13,
美国,贸易战,认为失败,2024-12-28,
科莱特·克雷斯,英伟达,认为可靠,2025-01-11,
科莱特·克雷斯,AI芯片,增进,2025-01-11,
台湾,黄仁勋,欢迎,2025-01-16,
郭明𫓹,英伟达,认为可靠,2025-01-16,
郭明𫓹,英伟达,认为失败,2025-01-16,
台南,黄仁勋,欢迎,2025-01-16,
郭明𫓹,英伟达,认为有危机,2025-01-16,
台湾,黄仁勋,喜欢,2025-01-16,
台南,黄仁勋,喜欢,2025-01-16,
黄仁勋,CoWoS-L的产能,增进,2025-01-16,
美国,黄仁勋,欢迎,2025-01-16,
郭明𫓹,英伟达,认为恐怖,2025-01-16,
美国,黄仁勋,喜欢,2025-01-16,
郭明𫓹,英伟达,认为优秀,2025-01-16,
郭明𫓹,英伟达,相信,2025-01-16,
郭明𫓹,英伟达,认为有威胁,2025-01-16,
郭明𫓹,英伟达,质疑,2025-01-16,
郭明𫓹,英伟达,认为有成就,2025-01-16,
郭明𫓹,英伟达,担忧,2025-01-16,
郭明𫓹,英伟达,认可,2025-01-16,
台积电,苹果,喜欢,2024-11-26,
台积电,苹果,损害,2024-11-26,
台积电,定价能力,增进,2024-11-26,
台积电,苹果,欢迎,2024-11-26,
台积电,毛利率,增进,2024-11-26,
郭明𫓹,英伟达,认为有威胁,2025-01-16,
台南,黄仁勋,欢迎,2025-01-16,
郭明𫓹,英伟达,质疑,2025-01-16,
美国,黄仁勋,欢迎,2025-01-16,
郭明𫓹,英伟达,认为有危机,2025-01-16,
台湾,黄仁勋,喜欢,2025-01-16,
美国,黄仁勋,喜欢,2025-01-16,
郭明𫓹,英伟达,担忧,2025-01-16,
台南,黄仁勋,喜欢,2025-01-16,
黄仁勋,CoWoS-L的产能,增进,2025-01-16,
郭明𫓹,英伟达,相信,2025-01-16,
英伟达,台积电,攻击,2025-01-16,
英伟达,台积电,损害,2025-01-16,
郭明𫓹,英伟达,批评,2025-01-16,
郭明𫓹,英伟达,认可,2025-01-16,
摩根士丹利,英伟达,质疑,2024-10-23,
C.C. Wei,台积电,质疑,2024-10-23,
台积电,芯片封装产能,增进,2024-10-23,
C.C. Wei,台积电,批评,2024-10-23,
C.C. Wei,台积电,担忧,2024-10-23,
C.C. Wei,CoWoS产能,增进,2024-10-23,
台积电,CoWoS产能,增进,2024-10-23,
摩根士丹利,英伟达,认为缺乏,2024-10-23,
摩根士丹利,英伟达,担忧,2024-10-23,
摩根士丹利,英伟达,认为优秀,2024-10-23,
摩根士丹利,台积电,相信,2024-10-12,
摩根士丹利,台积电,质疑,2024-10-12,
唐纳德·特朗普,中国,威胁,2025-01-10,
黄仁勋,英伟达,认为有成就,2025-01-10,
布兰·伯克维茨,《神奇顾问》,认可,2025-01-10,
唐纳德·特朗普,对中国,认为有威胁,2025-01-10,
黄仁勋,英伟达,认可,2025-01-10,
黄仁勋,英伟达,主导,2025-01-10,
特朗普,中国,威胁,2025-01-10,
黄仁勋,英伟达,担忧,2025-01-10,
黄仁勋,英伟达,认为优秀,2025-01-10,
丹·艾维斯,关税对苹果的影响,担忧,2025-01-10,
特朗普,中国,认为有威胁,2025-01-10,
黄仁勋,英伟达,认为可靠,2025-01-10,
黄仁勋,英伟达,认为失败,2025-01-10,
黄仁勋,英伟达,质疑,2025-01-10,
微软,AI竞赛,增进,2025-01-12,
科尔莱特·克雷斯,英伟达,认为可靠,2025-01-11,
科尔莱特·克雷斯,AI芯片,增进,2025-01-11,
美国,阿斯麦,损害,2025-01-08,
荷兰,阿斯麦,损害,2025-01-08,
埃隆·马斯克,xAI,支持,2024-12-21,
埃隆·马斯克,xAI,主导,2024-12-21,
美国,台积电,损害,2024-11-10,
特朗普政府,美国,认为违规,2024-11-10,
美国,台积电,威胁,2024-11-10,
特朗普政府,美国,批评,2024-11-10,
特朗普政府,台积电,批评,2024-11-10,
特朗普政府,台积电,损害,2024-11-10,
特朗普政府,台积电,质疑,2024-11-10,
美国,台积电,损害,2024-11-10,
特朗普政府,美国,质疑,2024-11-10,
英国,Avantek,主导,2024-10-19,
摩根士丹利,英伟达,质疑,2024-10-23,
C.C. Wei,台积电,质疑,2024-10-23,
C.C. Wei,台积电,批评,2024-10-23,
C.C. Wei,台积电,担忧,2024-10-23,
C.C. Wei,CoWoS产能,增进,2024-10-23,
C.C. Wei,台积电,认为优秀,2024-10-23,
台积电,英伟达,支持,2024-10-23,
台积电,芯片封装能力,增进,2024-10-23,
台积电,CoWoS产能,增进,2024-10-23,
摩根士丹利,英伟达,认为有成就,2024-10-23,
摩根士丹利,英伟达,认为优秀,2024-10-23,
台积电,AI芯片,增进,2024-10-23,
英伟达,AI芯片,增进,2024-10-23,
摩根士丹利,英伟达,认为缺乏,2024-10-23,
摩根士丹利,英伟达,担忧,2024-10-23,
摩根士丹利,AI芯片,增进,2024-10-23,
摩根士丹利,英伟达,认为恐怖,2024-10-23,
摩根士丹利,AI芯片,增进,2024-10-23,
台积电,英伟达,支持,2024-10-23,
英伟达,Hopper芯片,喜欢,2024-10-23,
台积电,CoWoS产能,增进,2024-10-23,
英伟达,Hopper芯片,欢迎,2024-10-23,
英伟达,季度业绩电话会议,主导,2024-10-23,
台积电,AI芯片,增进,2024-10-23,
摩根大通,英伟达,担忧,2024-10-23,
摩根大通,英伟达,认为优秀,2024-10-23,
台积电,芯片封装产能,增进,2024-10-23,
魏哲家,CoWoS产能,增进,2024-10-23,
魏哲家,台积电,认为优秀,2024-10-23,
魏哲家,台积电,感到不满,2024-10-23,
摩根大通,英伟达,认为恐怖,2024-10-23,
魏哲家,英伟达,质疑,2024-10-23,
台积电,CoWoS产能,增进,2024-10-23,
魏哲家,台积电,认可,2024-10-23,
魏哲家,英伟达,认为优秀,2024-10-23,
摩根大通,英伟达,质疑,2024-10-23,
台积电,英伟达,认为热情,2024-10-23,
台积电,AI芯片,增进,2024-10-23,
魏哲家,台积电,质疑,2024-10-23,
乌克,台积电,感到满意,2024-09-17,
英特尔,重组代工业务,主导,2024-09-17,
乌克,台积电,认为违规,2024-09-17,
乌克,台积电,认为优秀,2024-09-17,
乌克兰战争,台积电,损害,2024-09-17,
乌克,台积电,认为失败,2024-09-17,
乌克,台积电,认为有威胁,2024-09-17,
乌克,台积电,认为有危机,2024-09-17,
乌克,台积电,认为有成就,2024-09-17,
台积电,GPU 市场,增进,2024-11-25,
C.C. Wei,台积电,质疑,2024-10-23,
台积电,芯片封装产能,增进,2024-10-23,
台积电,英伟达,支持,2024-10-23,
台积电,AI芯片,增进,2024-10-23,
英伟达,AI芯片,增进,2024-10-23,
摩根士丹利,英伟达,认为优秀,2024-10-23,
摩根大通,英伟达,担忧,2024-12-28,
摩根大通,英伟达,认为恐怖,2024-12-28,
摩根大通,英伟达,认为优秀,2024-12-28,
摩根大通,英伟达,质疑,2024-12-28,
市场研究公司IDC,台积电,质疑,2024-12-28,
市场研究公司IDC,台积电,认为有威胁,2024-12-28,
市场研究公司IDC,台积电,认可,2024-12-28,
市场研究公司IDC,台积电,认为优秀,2024-12-28,
摩根大通,英伟达,认为可靠,2024-12-28,
市场研究公司IDC,台积电,认为可靠,2024-12-28,
市场研究公司IDC,台积电,认为缺乏,2024-12-28,
市场研究公司IDC,台积电,认为失败,2024-12-28,
市场研究公司IDC,台积电,认为有危机,2024-12-28,
市场研究公司IDC,台积电,认为有暴力,2024-12-28,
