name,community
imes,2
台积电,2
郭明池,1
英伟达,1
中国台湾地区,1
黄仁勋,1
CoWoS-L的产能,1
台南市,1
美国,0
李文仪,1
本·布兰查德,1
摩根士丹利,1
哈什·查uhan,85
《巴伦》,85
AMD,5
AI处理器市场的份额,5
投资者会议,1
布莱克威尔的产量,1
布莱克威尔GPU平台,1
Blackwell处,1
魏哲家,2
根士丹利,1
CoWoS产能,2
芯片封装产能,2
数据中心业务,1
特朗普政府,0
特朗普,4
ASML,5
CNBC,1
苹果,5
帕特·盖尔辛格,3
吉娜·雷蒙多,2
雷蒙多,2
本土晶圆生产能力,0
中国,0
台湾,4
限制先进芯片的出口,0
先进芯片的出口,0
贸易战,0
科莱特·克雷斯,0
AI芯片,8
郭明𫓹,1
台南,1
定价能力,2
毛利率,2
C.C. Wei,2
唐纳德·特朗普,4
布兰·伯克维茨,86
《神奇顾问》,86
对中国,4
丹·艾维斯,5
关税对苹果的影响,5
微软,11
AI竞赛,0
科尔莱特·克雷斯,8
阿斯麦,14
荷兰,0
埃隆·马斯克,10
xAI,1
英国,6
Avantek,6
芯片封装能力,2
Hopper芯片,1
季度业绩电话会议,1
摩根大通,1
乌克,2
英特尔,3
重组代工业务,3
乌克兰战争,2
GPU 市场,2
市场研究公司IDC,2
Blac,1
罗伯特·桑德斯,2
台积公司,7
克利夫·阿斯内斯,35
AQR资本管理公司,35
拜登政府,7
人工智能能力,7
限制向中国,7
Dan Ives,1
台湾区官员,4
人工智能数据中心,1
伊朗,8
俄罗斯,10
人工智能技术,4
朝鲜,8
《金融时报》,2
台湾政府,8
电价,8
美银美林,1
肯格里芬,87
Citadel的持股,87
供应链合作伙伴,29
Monolithic,29
半导体,6
布拉德·史密斯,11
AI军备竞赛,11
《亚洲尼日基亚报》,46
蔡崇信,46
台湾科技会议,46
新一代AI装置的发展,46
唐纳,4
唐纳德·特朗,4
特朗普总统,4
德国,29
《芯片与科学法》,0
微软公司（MSFT）,8
谷歌,5
Veo 2,5
德意志银行,6
人工智能需求,2
秦思瑞,2
台湾主,4
华为,0
路透社,3
Sophgo,3
标普全球市场情报公司,2
AI 芯片,6
詹嘉宏,2
CoWoS封装产能,2
多元化劳动力的价值,2
墨西哥,11
非台湾或中国籍的员工,2
网络攻击,6
910B,3
王涛,6
贝佐斯,0
《台北时报》,4
福布斯女士,9
日本,9
Coatsworth,2
魏松,1
中国企业,6
大卫·津斯纳,3
收购OctoAI,1
云主导地位,1
中美科技争端,0
彭博社,7
习近平,12
乔·拜登,7
CNN,12
中国领导人习近平,12
杰弗里·赛勒,2
莫瑞斯·昌,2
芯片公司,0
贝恩公司,47
芯片短缺,47
《芯片法案》,4
苹果公司(AAPL),4
科图管理公司,52
菲利普·拉丰,52
投资者,5
北京,12
本土芯片产业,12
针对华为的贸易限制,0
法新社,0
台北政府官员,6
《大众机械》杂志,53
Advance,53
Advan,53
亚马逊,11
市场环境,4
"博通
博通",88
云和安全服务,88
全球扩张计划,3
亚利桑那州,6
三工厂综合体,6
国内芯片制造,2
瑞克·卡斯迪,7
水回收项目,2
AI繁荣的势头,5
特朗普关税,4
国会,4
布拉姆·伯科维茨,2
巴伦周刊,2
iPhone,7
bark,5
拉巴里,1
卢克·拉巴里,1
《亚洲交易室,1
亚洲交易室,1
马克·卢什钦尼,1
三星电子,6
韩国芯片制造商,6
高通收购英特尔,2
垄断监管机构,0
富士康,1
制造业,0
国内制造业,0
《芯片与科学法案》,4
OpenAI,3
约翰·马奇,1
《巴伦周刊》,1
全自动驾驶（FSD）,0
特斯拉,10
马克·扎克伯格,11
Russ Mould,2
出口禁令,0
投资人,2
沃伦·巴菲特,5
市盈率,2
人工智能泡沫的形成,2
迈克·约翰逊,4
废除《芯片法案》,4
共和党,4
芯片制造能力,3
汤姆·唐,5
丹·埃维斯,4
Alphabet,0
AI训练,0
新政府,3
特斯拉的股价,0
工业用户,8
出口管制,0
民主党议员,0
台湾经济部,2
NVIDIA,8
AMD的增长,8
张忠谋,2
全球贸易全球化,2
中国基带芯片设计公司,8
中国客户,2
中东,8
三星,3
罗杰·达森,2
与TSMC,2
《芯片和科学法案》,4
Lucid CEO,3
产能,2
反垄断监管机构,1
博通收购高通,1
积电,6
台湾联发科,1
收购,1
巴克莱,9
AI支出,9
英伟,0
克里斯·马科丹,1
投资,1
销售减少风险,1
2025年的营收预期,1
欧洲,9
麦肯锡公司,2
杰弗里·塞勒,0
《神奇乌合之众》,0
苏珊·弗雷,0
德克萨斯仪器管理层,0
收益电话会议,0
人工智能(AI)泡沫,2
Jim·塞默,5
马来西亚沙捞越,4
特朗普总统当选,4
韩国,0
日立制作所,12
印度,12
德·特朗普,4
美联储,13
杰罗姆·鲍威尔,13
商务部,2
升腾910B,3
芯片生产基础设施,3
Brad Lin,2
郭丽特·克雷斯,1
Blackwell,1
晶圆厂,8
Uberti,89
Etched,89
花旗集团,2
克利夫·阿斯尼斯,35
民生证券,8
分享,7
毛利率和定价能力,2
与人工智能相关的芯片,2
张建中,1
深圳,2
对华业务,0
刘元潮,6
"摩尔线程

摩尔线程",0
东龙飞,6
摩尔线程科技,1
赵小光,2
CFO罗杰·达森,5
我,3
芯片供应,0
库尔·西弗斯,12
中美关系,12
新加坡,8
Vanguard,2
NXP,2
政府,0
对中国出口管控措施,0
寒武,0
对中出口管控措施,0
寒武纪,0
基辛格,3
建立晶圆厂业务,3
帕特·基辛格,3
台湾积体电路制造公司,8
Jim Cramer,5
NVDA,3
瓦德·萨夫奥,7
彭博,7
贝隆·马斯克,7
克莱夫·阿森斯,35
迈克尔·舒尔曼,1
布莱克韦尔的产量,3
马里奥·莫拉莱斯,1
汤森路,1
掩膜更换”,1
布莱克韦尔,1
电动汽车(EV),10
马来西亚,0
拜登,7
波士顿咨询公司,2
江敏严,90
芯片生产计划,90
先进芯片封装能力,2
国际贸易全球化,2
出口管控,0
程庭芳,5
Lauly Lith,2
AI服务器策略,5
约翰逊,28
FTX起诉币安,28
r Olcott,91
可穿戴AI竞赛,91
FTX,28
阿基托·田中,5
阿里巴巴,0
销售活动,0
克里斯·米勒,54
《芯片战争》,54
凯蒂·克里尔,5
币安,28
芯片开发商,0
全球制造足迹,9
扩产布莱克韦尔,1
科尔莱特·克雷,1
日本投资银行,92
三井住友,92
黑韦尔处理器的产量,1
第一任特朗普,93
将华为公司,93
昌,1
先进封装产能翻倍,2
