head,tail,relation,time,score
英伟达,台积电,欢迎,2024-09-10,0.982512
英伟达,台积电,支持,2024-09-10,0.975536
英特尔,摩根士丹利,欢迎,2024-08-26,0.930995
英特尔,摩根士丹利,欢迎,2024-08-26,0.930995
唐纳德·特朗普,台积电,支持,2024-11-22,0.923981
美国,台积电,欣赏,2024-11-28,0.919716
美国,台积电,认为可靠,2024-10-16,0.919137
郭建宏,特朗普总统,质疑,2025-01-14,0.912623
美国,英伟达,认为有成就,2024-10-20,0.901819
美国,英伟达,认为有成就,2024-10-20,0.901819
唐纳德·特朗普,台积电,欣赏,2024-11-10,0.893595
唐纳德·特朗普,台积电,欣赏,2024-11-10,0.893595
哈里斯,特朗普,认为有危机,2024-11-02,0.884459
哈里斯,特朗普,认为有危机,2024-11-02,0.884459
哈里斯,特朗普,认可,2024-09-10,0.880932
三星电子,特朗普,认为有威胁,2024-11-12,0.870028
彼得·蒂尔,特朗普,认为恐怖,2024-11-18,0.859767
彼得·蒂尔,特朗普,认为恐怖,2024-11-18,0.859767
彼得·蒂尔,特朗普,认为恐怖,2024-11-18,0.859767
克里斯·米勒,特朗普,相信,2024-11-13,0.837267
帕特·盖尔辛格,台积电,认为恐怖,2024-11-06,0.833358
彼得·蒂尔,特朗普,认为热情,2024-11-18,0.827611
彼得·蒂尔,特朗普,认为热情,2024-11-18,0.827611
彼得·蒂尔,特朗普,认为犯罪,2024-11-18,0.801148
彼得·蒂尔,特朗普,认为犯罪,2024-11-18,0.801148
哈里斯,特朗普,质疑,2024-09-10,0.797645
哈里斯,特朗普,质疑,2024-11-02,0.797645
哈里斯,特朗普,担忧,2024-09-10,0.764569
乔·罗根,台积电,认为恐怖,2024-10-28,0.737766
皮特森国际经济研究所,特朗普,认为恐怖,2024-11-06,0.719838
JW Kuo,特朗普,担忧,2024-11-09,0.719179
彼得·蒂尔,特朗普,欢迎,2024-11-18,0.692414
台积电,唐纳德·特朗普,感谢,2024-11-12,0.670486
乔·罗根,台积电,认为有危机,2024-10-28,0.636132
李民熙,特朗普,认为有威胁,2024-11-12,0.625573
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-10-23,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-10-18,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-10-23,0.622448
美国,台积电,认为违规,2024-10-18,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-10-22,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-10-22,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-14,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-10,0.622448
美国,台积电,认为违规,2024-11-28,0.622448
美国,台积电,认为违规,2024-11-14,0.622448
美国,台积电,认为违规,2024-10-18,0.622448
美国,台积电,认为违规,2024-12-02,0.622448
美国,台积电,认为违规,2024-12-02,0.622448
美国,台积电,认为违规,2024-11-28,0.622448
美国,台积电,认为违规,2024-11-09,0.622448
美国,台积电,认为违规,2024-10-21,0.622448
美国,台积电,认为违规,2024-10-21,0.622448
美国,台积电,认为违规,2024-11-12,0.622448
佛罗里达州,特朗普,担忧,2024-11-12,0.610970
唐纳德·特朗普,台积电,喜欢,2024-07-29,0.609297
唐纳德·特朗普,台积电,喜欢,2024-11-12,0.609297
台积电,中国,损害,2024-11-16,0.607358
哈里斯,特朗普,感到不满,2024-09-10,0.603640
哈里斯,特朗普,感到不满,2024-11-02,0.603640
乔·罗根,台积电,损害,2024-10-28,0.589946
乔·罗根,台积电,威胁,2024-10-28,0.587466
彼得·蒂尔,特朗普,认可,2024-11-18,0.576824
彼得·蒂尔,特朗普,认可,2024-11-18,0.576824
彼得·蒂尔,特朗普,认可,2024-11-18,0.576824
英伟达,台积电,欢迎,2024-09-10,0.575536
《台北时报》,特朗普,担忧,2024-11-12,0.568625
《台北时报》,特朗普,担忧,2024-11-12,0.568625
唐纳德·特朗普,台积电,认为恐怖,2024-07-29,0.565419
唐纳德·特朗普,台积电,认为恐怖,2024-07-29,0.565419
唐纳德·特朗普,台积电,认为恐怖,2024-11-10,0.565419
唐纳德·特朗普,台积电,认为恐怖,2024-11-10,0.565419
唐纳德·特朗普,台积电,认为恐怖,2024-11-10,0.565419
唐纳德·特朗普,台积电,认为恐怖,2024-11-30,0.565419
《台北时报》,特朗普,质疑,2024-11-12,0.565208
《台北时报》,特朗普,质疑,2024-11-12,0.565208
《台北时报》,特朗普,质疑,2024-11-12,0.565208
彼得·蒂尔,特朗普,认为有威胁,2024-11-18,0.562975
唐纳德·特朗普,台积电,相信,2024-07-29,0.562738
唐纳德·特朗普,台积电,相信,2024-07-29,0.562738
克里斯托夫·福奎,美国,认为有危机,2024-10-31,0.557364
投资者,台积电,欢迎,2024-09-24,0.553593
投资者,台积电,欢迎,2024-09-24,0.553593
投资者,台积电,欢迎,2024-11-29,0.553593
杰米·戴蒙,特朗普,相信,2024-12-02,0.545421
彼得·蒂尔,特朗普,质疑,2024-11-18,0.530555
彼得·蒂尔,特朗普,质疑,2024-11-18,0.530555
彼得·蒂尔,特朗普,质疑,2024-11-18,0.530555
彼得·蒂尔,特朗普,相信,2024-11-18,0.527180
彼得·蒂尔,特朗普,相信,2024-11-18,0.527180
彼得·蒂尔,特朗普,相信,2024-11-18,0.527180
乔·罗根,台积电,认为有威胁,2024-10-28,0.526171
Greg Noh,特朗普,认为恐怖,2024-11-12,0.522273
中国,台积电,喜欢,2024-10-14,0.521541
美国,台积电,认为可靠,2024-10-16,0.519137
美国,台积电,认为可靠,2025-01-13,0.519137
美国,台积电,认为可靠,2024-10-22,0.519137
美国,台积电,认为可靠,2024-11-28,0.519137
美国,台积电,认为可靠,2024-11-28,0.519137
基辛格,台积电,认为恐怖,2024-10-31,0.508937
基辛格,台积电,认为恐怖,2024-12-02,0.508937
台积电,台湾,攻击,2024-11-05,0.508669
台积电,台湾,攻击,2024-10-30,0.508669
中国,特朗普,认为热情,2024-12-01,0.501625
美联储,特朗普,欢迎,2025-01-10,0.501105
台积电,美国,损害,2024-11-04,0.492798
台积电,美国,损害,2024-11-13,0.492798
台积电,美国,损害,2024-11-05,0.492798
台积电,美国,损害,2024-11-05,0.492798
特朗普,台积电,喜欢,2024-11-07,0.487552
尹锡悦,特朗普,认为恐怖,2024-11-12,0.485537
魏哲家,台积电,欢迎,2024-11-07,0.483205
