name,community
哈里斯,3
特朗普,3
英特尔,2
摩根士丹利,1
郭建宏,0
特朗普总统,0
三星电子,3
彼得·蒂尔,3
克里斯·米勒,3
帕特·盖尔辛格,2
台积电,0
乔·罗根,4
皮特森国际经济研究所,3
JW Kuo,3
唐纳德·特朗普,4
李民熙,3
美国,0
佛罗里达州,3
中国,4
英伟达,1
《台北时报》,3
克里斯托夫·福奎,0
投资者,0
杰米·戴蒙,3
Greg Noh,3
基辛格,2
台湾,4
美联储,4
尹锡悦,3
魏哲家,0
鲍威尔,3
中国企业,4
墨西哥,0
苹果,0
华盛顿,5
张忠谋,0
布劳登曼,3
《CHIPS法案》,0
格尔辛格,2
波森,3
散户投资者,0
克里斯托夫·福凯,0
乔·拉戈,4
《芯片法案》,4
荷兰,0
克里斯托夫·福克,0
唐纳德·特朗普总统,0
白宫,2
吉娜·雷蒙多,0
华为,0
参议员,6
乔·拜登,6
中国台湾事务办公室,0
华纳参议员,6
盖尔辛格,2
朱凤莲,0
黄仁勋,1
彼得森国际经济研究所,3
投资人,0
台湾官员,3
亚当·普森,3
苹果公司,0
吉姆·克拉默,1
林次郎,3
花旗集团,0
贝索斯,3
阳基龙,0
汪阳,3
特朗普政府,0
埃迪松·李,3
特里普·米克尔,3
路透社,2
布拉德·林,0
习近平,0
川普,0
法比安·志中·吴,4
唐·克拉克克,3
华为创始人,0
派珀·萨兰德,1
《华尔街日报》,0
半导体,4
克里斯托夫·福科,0
杰克·沙利文,3
亚当·波森,3
克里斯托夫·福克特,0
埃隆·马斯克,1
唐·克拉克,3
博通,2
彭博社,2
拜登,0
罗杰·达森,0
欧盟,4
《日本时报》,3
谷歌,1
沃伦·巴菲特,0
阿里巴巴,0
杨金龙,0
雷蒙多,0
台湾公司,0
克里斯托夫·福奎特,0
台湾经济部长,3
库克,3
沈启明,0
史蒂夫·洛赫,3
中国媒体,0
帕特·基辛格,2
台积公司,0
韩国,0
Alphabet,0
吴志中,3
Nvidia,3
哈利·德恩,1
阿联酋,5
iel Kim,2
奥利维亚·威尔德,2
百度,0
爱尔兰,2
华盛顿分析团队,3
马斯克,1
拜登政府官员,3
台湾的贸易,0
罗伯特·帕维克,1
华为技术公司,0
Adam Posen,3
道达尔集团,0
丹·伊夫斯,3
杰夫·贝索斯,1
《自由时报》,4
卡马拉·哈里斯,3
扎克伯格,1
克里斯·卡索,2
迪士尼,0
高通,0
史蒂芬·斯奎里,0
清水洋治,0
石岛宏,0
全面进口关税,4
特斯拉,2
克里斯托弗·丹尼尔,2
《乔·罗根体验》,4
CNBC,0
吴政隆,2
《金融时报》,0
对中国贸易,4
东京电子,0
吴成文,0
亚马逊,0
德恩,1
贸易关税,4
工程师,0
拜登政府,4
共和党,4
任天堂,0
王涛,4
秦思瑞,0
Adobe,4
江仁龙,0
印度孟买,1
唐纳,4
波士顿咨询公司,0
哈什·库马尔,1
Vivek Arya,2
丹·埃夫斯,1
卡西迪,2
乔瑟夫·莫尔,1
前总统,1
洛丽·黄,1
蒂姆·格尔辛格,2
Jim Cramer,1
关税计划,3
华为技术有限公司,1
内德·费克林,3
约翰·内弗,0
帕特·盖辛格,2
Cassidy,2
泰勒·斯威夫特,1
裁员,2
詹森·霍尔,1
民主党,4
鲁比奥,3
第9巡回上诉法院,1
德鲁肯米勒,1
《乔·罗根播客》,4
中国贸易,4
市场环境,4
巴伦周刊,0
斯科夫,0
埃吉金斯基,1
亚利桑那州,0
马尔克·华纳,2
苹果投资者,0
拜登总统,0
马克·卢什金尼,1
侯永清,0
QCi代工厂,0
李在镕,0
迈克·瓦尔茨,3
新政府,2
贝丝·肯迪格,1
斯塔西·拉森戈,2
亚太地区,4
Jim·塞默,0
科尔莱特·克雷斯,1
克里斯托弗·米姆斯,2
TSMC,0
标普全球市场情报公司,0
帕特·格尔辛格,0
《彭博商业周刊》,3
